frame,timestamp_ms,x,y,conf
10,2666.6666666666665,1233.4705,296.96606,0.005277107
12,3200.0,1137.3713,500.00757,0.01072552
14,3733.3333333333335,1136.5763,500.8523,0.022292567
16,4266.666666666667,1136.5029,500.8015,0.018294597
18,4800.0,1136.6023,500.7282,0.01992262
20,5333.333333333333,1136.3098,500.8894,0.024756037
22,5866.666666666667,1137.188,499.6869,0.026306503
24,6400.0,1137.2832,499.69714,0.03894404
26,6933.333333333333,1137.704,500.16345,0.059577234
28,7466.666666666667,1138.4622,499.51062,0.1869662
30,8000.0,1236.5032,287.897,0.12517427
32,8533.333333333334,1234.1355,280.4617,0.009586707
34,9066.666666666666,1203.8535,265.26843,0.026172167
36,9600.0,1110.1044,242.41614,0.05469885
42,11200.0,693.27344,489.70306,0.011484457
56,14933.333333333334,21.097586,593.65515,0.02574577
60,16000.0,1177.9495,511.0744,0.035495684
72,19200.0,148.30286,381.28845,0.008155114
98,26133.333333333332,309.82678,356.58215,0.007822455
102,27200.0,244.26353,269.745,0.05412032
