frame,cx,cy,diam
28,634.2,421.5,7.3
30,677.7,336.5,8.3
32,651.7,363.4,9.4
34,618.0,337.5,7.1
36,645.6,389.7,12.4
38,1032.0,185.6,13.8
40,952.4,200.7,16.1
42,807.0,219.2,7.3
44,705.5,221.6,21.0
46,560.0,221.5,15.8
48,496.1,234.6,12.4
50,795.0,342.9,15.4
52,720.3,343.9,15.0
54,707.9,252.4,9.9
56,774.8,211.6,17.5
58,754.6,178.5,11.2
60,770.1,311.7,8.5
62,1025.0,161.5,10.2
64,552.6,431.7,10.3
66,685.1,357.4,20.2
68,652.1,451.0,10.4
70,88.2,200.0,14.0
72,331.7,187.3,12.1
74,425.5,190.3,11.2
76,645.3,201.4,16.4
78,567.5,246.1,9.0
80,625.7,259.8,9.1
82,676.2,261.4,13.6
84,722.5,196.3,12.2
86,507.2,358.0,12.8
88,660.1,291.6,10.9
90,461.0,336.7,16.2
92,570.1,389.5,15.3
94,504.1,405.5,12.1
96,566.3,404.7,15.0
98,485.4,386.9,11.4
100,533.5,409.8,15.3
102,419.0,346.0,8.2
104,523.0,358.0,8.2
106,661.3,285.1,13.3
108,505.4,356.4,16.3
110,518.6,412.0,14.5
112,500.5,357.5,14.2
114,710.0,308.0,10.0
116,620.3,386.0,8.0
118,550.0,348.0,8.2
120,564.0,328.0,8.2
122,678.2,265.4,14.5
124,550.4,250.2,23.0
126,514.3,242.2,21.6
128,481.1,230.1,24.1
130,266.0,322.0,8.2
132,330.0,209.6,8.7
134,726.6,187.3,7.0
136,707.7,175.1,8.9
138,943.0,333.6,15.0
140,674.5,255.3,7.1
142,644.3,334.3,14.6
144,641.6,301.2,8.1
146,634.5,496.5,20.8
148,1018.3,119.7,17.7
150,986.8,153.3,17.9
152,893.9,222.9,10.3
154,853.7,227.0,13.9
156,870.2,158.5,10.2
158,901.2,190.6,18.4
160,792.3,273.7,13.3
162,779.3,173.5,7.3
164,810.6,175.7,11.7
166,788.0,298.3,9.9
168,777.8,195.3,12.7
170,775.0,205.1,8.1
172,719.3,232.5,7.5
174,725.9,402.8,20.6
176,701.6,254.1,9.2
178,702.3,254.1,8.2
180,706.6,218.6,8.2
182,818.9,209.8,12.5
184,778.6,164.9,7.1
186,808.3,389.6,14.0
188,1155.7,204.3,12.5
190,375.3,339.6,9.4
192,567.4,304.4,12.1
194,402.1,337.0,12.2
