attempt_id,frame,time_s,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,shot_type_final,made_final
0,95,25.333,4.534,2.229,2PT,False,2PT,True
1,338,90.312,6.639,3.084,3PT,True,2PT,True
2,402,107.311,4.123,1.889,3PT,False,2PT,False
3,454,121.124,4.391,2.272,3PT,False,2PT,False
4,653,174.25,4.622,3.04,3PT,False,2PT,False
5,741,197.627,4.435,1.823,3PT,True,2PT,True
6,818,218.358,3.421,2.034,3PT,False,2PT,False
7,914,243.859,4.852,2.209,3PT,True,2PT,True
8,978,260.874,4.852,2.527,3PT,True,2PT,True
9,1016,270.986,4.457,2.475,3PT,False,2PT,False
10,1384,369.296,4.106,1.875,3PT,False,2PT,False
11,1467,391.2,3.279,2.654,2PT,False,2PT,True
12,1496,399.046,4.413,3.218,3PT,False,2PT,False
13,1657,442.077,3.668,2.481,3PT,True,2PT,True
14,1907,508.764,4.052,2.141,3PT,False,2PT,False
15,1914,510.638,3.904,2.103,3PT,False,2PT,False
16,1919,511.965,3.925,1.875,3PT,False,2PT,False
17,1970,525.5,3.531,1.546,3PT,True,2PT,True
18,2036,543.03,3.92,1.724,3PT,False,2PT,False
19,2155,574.667,5.466,2.492,2PT,False,2PT,True
20,2157,575.444,4.627,3.479,3PT,True,2PT,True
21,2163,577.041,2.341,1.798,3PT,True,2PT,True
