attempt_id,frame,time_s,peak_frame,peak_y_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,signal_override,shot_type_final,made_final
0,33,8.8,33,301.6,5.301,2.167,2PT,False,0,2PT,False
1,154,41.067,154,171.6,3.293,1.047,2PT,False,0,2PT,False
2,191,50.933,191,211.64,4.648,2.024,2PT,False,0,2PT,False
3,209,55.733,209,200.74,3.984,1.08,2PT,False,0,2PT,False
4,231,61.6,231,199.23,4.459,2.243,2PT,False,0,2PT,False
5,249,66.4,249,185.6,2.256,2.111,2PT,False,0,2PT,False
6,344,91.733,344,397.4,6.084,2.003,2PT,False,0,2PT,False
7,528,140.8,528,109.08,4.804,2.502,2PT,False,0,2PT,False
8,558,148.8,558,352.15,4.621,2.51,2PT,False,0,2PT,False
9,714,190.4,714,334.05,4.583,2.283,2PT,False,0,2PT,False
10,737,196.533,737,343.61,4.394,1.844,2PT,False,0,2PT,False
11,942,251.2,942,207.31,3.736,2.583,2PT,False,0,2PT,False
12,1080,288.0,1080,344.61,3.12,2.089,2PT,False,0,2PT,False
13,1111,296.267,1111,307.3,3.881,2.116,2PT,False,0,2PT,False
14,1143,304.8,1143,302.93,4.459,1.628,2PT,False,0,2PT,False
15,1186,316.267,1186,268.92,1.198,1.814,2PT,False,0,2PT,False
16,1272,339.2,1272,274.38,4.054,1.514,2PT,False,0,2PT,False
17,1326,353.6,1326,309.42,3.649,1.552,2PT,False,0,2PT,False
18,1346,358.933,1346,300.74,3.563,1.493,2PT,False,0,2PT,False
19,1464,390.4,1464,212.74,2.856,2.505,2PT,False,0,2PT,False
20,1745,465.333,1745,96.68,3.541,2.065,2PT,False,0,2PT,False
21,1826,486.933,1826,368.05,4.086,3.123,2PT,False,0,2PT,False
22,1873,499.467,1873,307.01,3.196,1.614,2PT,False,0,2PT,False
23,2065,550.667,2065,167.78,4.248,2.678,2PT,False,0,2PT,False
24,2151,573.6,2151,147.58,4.815,3.339,2PT,False,0,2PT,False
25,2238,596.8,2238,374.85,2.688,1.965,2PT,False,0,2PT,False
26,2258,602.133,2258,384.53,3.736,1.736,2PT,False,0,2PT,False
27,2288,610.133,2288,259.59,5.323,1.323,2PT,False,0,2PT,False
28,2570,685.333,2570,323.16,5.231,2.75,2PT,False,0,2PT,False
