attempt_id,frame,time_s,dist_to_hoop_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,signal_override,shot_type_final,made_final
0,58,15.467,317.24,3.579,2.78,2PT,True,0,2PT,True
1,93,24.8,205.87,5.258,2.845,2PT,True,0,2PT,True
2,220,58.667,194.8,3.552,1.7,2PT,False,0,2PT,False
3,282,75.2,180.96,4.06,2.165,2PT,True,0,2PT,True
4,291,77.6,94.98,3.66,2.526,2PT,False,0,2PT,False
5,394,105.067,104.67,4.939,1.709,2PT,False,0,2PT,False
6,407,108.533,87.4,3.606,1.919,2PT,False,0,2PT,False
7,427,113.867,121.41,5.269,1.56,2PT,False,0,2PT,False
8,486,129.6,185.47,2.526,1.954,2PT,False,0,2PT,False
9,501,133.6,72.91,4.648,3.379,2PT,False,0,2PT,False
10,587,156.533,289.78,2.866,1.574,2PT,True,0,2PT,True
11,632,168.533,134.32,5.382,2.122,2PT,True,0,2PT,True
12,649,173.067,248.3,4.335,2.883,2PT,True,0,2PT,True
13,692,184.533,106.91,5.382,1.709,2PT,True,0,2PT,True
14,805,214.667,224.54,4.443,1.819,2PT,True,0,2PT,True
15,876,233.6,225.15,2.861,1.371,2PT,False,0,2PT,False
16,949,253.067,127.07,3.385,2.089,2PT,True,0,2PT,True
17,1021,272.267,58.96,4.232,1.924,2PT,False,0,2PT,False
18,1049,279.733,147.28,3.001,1.806,2PT,True,0,2PT,True
19,1305,348.0,57.5,3.142,1.641,2PT,False,0,2PT,False
20,1351,360.267,132.88,4.0,2.049,2PT,False,0,2PT,False
21,1444,385.067,202.06,4.265,3.139,2PT,True,0,2PT,True
22,1460,389.333,205.65,3.158,2.437,2PT,False,0,2PT,False
23,1476,393.6,264.46,4.572,2.208,2PT,True,0,2PT,True
24,1492,397.867,167.59,4.427,3.196,2PT,True,0,2PT,True
25,1619,431.733,110.69,2.607,1.733,2PT,True,0,2PT,True
26,1653,440.8,102.11,4.07,1.919,2PT,False,0,2PT,False
27,1743,464.8,98.12,3.676,2.041,2PT,True,0,2PT,True
28,1824,486.4,235.28,4.486,2.753,2PT,False,0,2PT,False
29,1832,488.533,106.2,4.173,2.645,2PT,False,0,2PT,False
30,1849,493.067,167.91,3.212,2.513,2PT,True,0,2PT,True
31,1990,530.667,62.0,1.592,1.379,2PT,False,0,2PT,False
32,2005,534.667,250.93,3.244,1.563,2PT,False,0,2PT,False
33,2018,538.133,147.85,3.568,1.746,2PT,False,0,2PT,False
34,2027,540.533,175.58,4.405,2.489,2PT,True,0,2PT,True
35,2088,556.8,318.33,4.815,2.475,2PT,False,0,2PT,False
36,2116,564.267,407.24,4.535,2.726,2PT,False,0,2PT,False
37,2124,566.4,165.91,4.583,2.702,2PT,False,0,2PT,False
38,2133,568.8,117.29,4.799,3.382,2PT,False,0,2PT,False
39,2153,574.133,173.73,5.382,2.454,2PT,True,0,2PT,True
40,2255,601.333,209.12,3.757,2.834,2PT,False,0,2PT,False
41,2293,611.467,237.89,2.931,2.669,2PT,False,0,2PT,False
42,2326,620.267,73.8,4.421,2.337,2PT,False,0,2PT,False
43,2337,623.2,160.62,3.887,2.103,2PT,True,0,2PT,True
44,2420,645.333,127.94,3.719,2.718,2PT,True,0,2PT,True
45,2463,656.8,81.44,4.535,2.186,2PT,False,0,2PT,False
46,2484,662.4,181.73,4.54,3.158,2PT,True,0,2PT,True
47,2508,668.8,196.26,4.535,3.134,2PT,True,0,2PT,True
48,2544,678.4,229.67,2.893,2.71,2PT,True,0,2PT,True
49,2620,698.667,218.36,2.888,1.622,2PT,True,0,2PT,True
