attempt_id,frame,time_s,peak_frame,peak_y_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,shot_type_final,made_final
0,95,25.333,90.0,84.53,4.534,2.229,2PT,False,2PT,True
1,1467,391.2,1462.0,114.52,3.279,2.654,2PT,False,2PT,True
2,2155,574.667,2150.0,113.33,5.466,2.492,2PT,False,2PT,True
3,43,11.689,,,3.975,2.256,3PT,False,2PT,False
4,165,44.101,,,2.341,1.414,3PT,False,2PT,False
5,167,44.636,,,2.188,1.483,3PT,False,2PT,False
6,169,45.155,,,1.908,1.568,3PT,False,2PT,False
7,171,45.688,,,2.253,1.694,3PT,False,2PT,False
8,173,46.221,,,2.763,1.741,3PT,False,2PT,False
9,258,69.062,,,3.18,2.045,3PT,False,2PT,False
10,260,69.592,,,3.317,1.905,3PT,False,2PT,False
11,292,78.093,,,3.547,2.582,3PT,False,2PT,False
12,394,105.187,,,5.016,1.735,3PT,False,2PT,False
13,396,105.718,,,4.561,1.639,3PT,False,2PT,False
14,408,108.905,,,4.298,2.226,3PT,False,2PT,False
15,440,117.405,,,2.407,1.79,3PT,False,2PT,False
16,442,117.938,,,2.566,1.757,3PT,False,2PT,False
17,500,133.343,,,4.72,3.432,3PT,False,2PT,False
18,502,133.881,,,5.466,2.697,3PT,False,2PT,False
19,511,136.529,,,4.94,2.522,3PT,False,2PT,False
20,513,137.061,,,4.956,2.527,3PT,False,2PT,False
21,515,137.592,,,4.896,2.525,3PT,False,2PT,False
22,517,138.123,,,4.896,2.525,3PT,False,2PT,False
23,545,145.561,,,4.567,2.645,3PT,False,2PT,False
24,547,146.093,,,4.567,2.645,3PT,False,2PT,False
25,549,146.623,,,4.616,2.601,3PT,False,2PT,False
26,551,147.155,,,4.666,2.599,3PT,False,2PT,False
27,555,148.218,,,4.677,2.544,3PT,False,2PT,False
28,557,148.749,,,4.677,2.544,3PT,False,2PT,False
29,559,149.281,,,4.693,2.549,3PT,False,2PT,False
30,561,149.812,,,4.775,3.435,3PT,False,2PT,False
31,603,160.968,,,2.571,3.832,3PT,False,2PT,False
32,693,184.874,,,4.156,2.651,3PT,False,2PT,False
33,894,238.546,,,2.149,1.752,3PT,False,2PT,False
34,896,239.083,,,5.016,1.902,3PT,False,2PT,False
35,898,239.618,,,4.94,2.111,3PT,False,2PT,False
36,900,240.15,,,4.698,2.16,3PT,False,2PT,False
37,936,249.702,,,3.613,2.188,3PT,False,2PT,False
38,938,250.245,,,4.189,2.352,3PT,False,2PT,False
39,948,252.89,,,3.438,2.122,3PT,False,2PT,False
40,950,253.422,,,4.627,2.103,3PT,False,2PT,False
41,1020,272.046,,,4.364,1.96,3PT,False,2PT,False
42,1022,272.586,,,4.298,1.954,3PT,False,2PT,False
43,1083,289.046,,,3.717,2.138,3PT,False,2PT,False
44,1085,289.577,,,3.717,2.138,3PT,False,2PT,False
45,1089,290.645,,,3.772,1.878,3PT,False,2PT,False
46,1091,291.174,,,3.772,1.878,3PT,False,2PT,False
47,1119,298.608,,,3.443,1.631,3PT,False,2PT,False
48,1121,299.144,,,3.448,2.171,3PT,False,2PT,False
49,1129,301.265,,,3.98,2.196,3PT,False,2PT,False
50,1131,301.795,,,3.98,2.196,3PT,False,2PT,False
51,1133,302.334,,,3.914,2.251,3PT,False,2PT,False
52,1135,302.859,,,3.69,2.196,3PT,False,2PT,False
53,1137,303.403,,,3.706,1.763,3PT,False,2PT,False
54,1275,340.062,,,3.114,2.001,3PT,False,2PT,False
55,1277,340.593,,,4.298,2.64,3PT,False,2PT,False
56,1279,341.127,,,4.353,2.812,3PT,False,2PT,False
57,1281,341.656,,,4.496,3.043,3PT,False,2PT,False
58,1283,342.199,,,3.114,1.661,3PT,False,2PT,False
59,1287,343.25,,,3.098,1.678,3PT,False,2PT,False
60,1289,343.785,,,3.054,1.702,3PT,False,2PT,False
61,1291,344.311,,,3.651,2.67,3PT,False,2PT,False
62,1303,347.514,,,3.015,2.286,3PT,False,2PT,False
63,1305,348.045,,,3.191,1.667,3PT,False,2PT,False
64,1353,360.802,,,4.062,2.081,3PT,False,2PT,False
65,1354,361.326,,,3.416,1.708,3PT,False,2PT,False
66,1619,431.983,,,2.648,1.76,3PT,False,2PT,False
67,1635,436.233,,,3.712,1.689,3PT,False,2PT,False
68,1637,436.774,,,3.712,1.689,3PT,False,2PT,False
69,1781,475.031,,,4.03,2.325,3PT,False,2PT,False
70,1783,475.563,,,3.942,1.987,3PT,False,2PT,False
71,1990,530.813,,,1.617,1.401,3PT,False,2PT,False
72,1992,531.343,,,5.499,2.895,3PT,False,2PT,False
73,2131,568.532,,,4.753,2.843,3PT,False,2PT,False
74,2133,569.062,,,4.874,3.435,3PT,False,2PT,False
75,2203,587.655,,,2.791,1.946,3PT,False,2PT,False
76,2229,594.562,,,3.377,1.9,3PT,False,2PT,False
77,2231,595.103,,,3.377,1.9,3PT,False,2PT,False
78,2275,606.781,,,2.802,1.738,3PT,False,2PT,False
79,2281,608.374,,,3.575,1.601,3PT,False,2PT,False
80,2325,620.066,,,3.542,2.242,3PT,False,2PT,False
81,2327,620.594,,,4.49,2.374,3PT,False,2PT,False
82,2351,626.967,,,4.474,1.593,3PT,False,2PT,False
83,2353,627.499,,,3.032,1.763,3PT,False,2PT,False
84,2355,628.044,,,3.832,1.535,3PT,False,2PT,False
85,2566,684.378,,,5.905,1.812,3PT,False,2PT,False
86,2568,684.906,,,5.729,2.763,3PT,False,2PT,False
87,2677,714.123,,,3.827,1.557,3PT,False,2PT,False
88,2679,714.655,,,3.788,1.483,3PT,False,2PT,False
