attempt_id,frame,time_s,peak_frame,peak_y_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,signal_override,shot_type_final,made_final
0,90,24.0,90,84.53,5.339,2.729,2PT,False,0,2PT,False
1,230,61.333,230,164.28,4.869,1.849,2PT,False,0,2PT,False
2,250,66.667,250,167.51,2.256,2.111,2PT,False,0,2PT,False
3,296,78.933,296,137.68,3.406,2.586,2PT,False,0,2PT,False
4,400,106.667,400,108.87,4.265,1.63,2PT,False,0,2PT,False
5,494,131.733,494,148.29,4.675,2.497,2PT,False,0,2PT,False
6,528,140.8,528,154.3,4.804,2.502,2PT,False,0,2PT,False
7,822,219.2,822,167.76,4.221,1.865,2PT,False,0,2PT,False
8,1462,389.867,1462,114.52,3.001,2.507,2PT,False,0,2PT,False
9,1615,430.667,1615,101.84,2.726,1.703,2PT,False,0,2PT,False
10,1798,479.467,1798,66.44,5.091,2.578,2PT,False,0,2PT,False
11,2010,536.0,2010,33.74,2.672,1.619,2PT,False,0,2PT,False
12,2068,551.467,2068,147.51,4.14,2.678,2PT,False,0,2PT,False
13,2074,553.067,2074,147.45,4.135,2.826,2PT,False,0,2PT,False
14,2094,558.4,2094,146.53,2.877,1.892,2PT,False,0,2PT,False
15,2150,573.333,2150,113.33,4.815,3.339,2PT,False,0,2PT,False
16,2225,593.333,2225,169.16,3.39,1.83,2PT,False,0,2PT,False
17,2640,704.0,2640,186.24,3.8,1.274,2PT,False,0,2PT,False
