attempt_id,frame,time_s,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,shot_type_final,made_final
0,41,11.155,3.975,2.256,3PT,False,2PT,False
1,45,12.218,4.539,1.604,3PT,False,2PT,False
2,95,25.333,4.534,2.229,2PT,False,2PT,True
3,151,40.386,3.882,0.998,3PT,False,2PT,False
4,155,41.438,3.958,1.091,3PT,False,2PT,False
5,159,42.505,3.24,1.234,3PT,False,2PT,False
6,165,44.101,2.341,1.414,3PT,False,2PT,False
7,169,45.155,1.908,1.568,3PT,False,2PT,False
8,173,46.221,2.763,1.741,3PT,False,2PT,False
9,205,54.721,3.586,1.157,3PT,False,2PT,False
10,258,69.062,3.18,2.045,3PT,False,2PT,False
11,290,77.562,3.717,2.566,3PT,False,2PT,False
12,294,78.624,3.098,2.621,3PT,False,2PT,False
13,300,80.218,3.344,2.505,3PT,False,2PT,False
14,312,83.405,3.997,3.114,3PT,False,2PT,False
15,394,105.187,5.016,1.735,3PT,False,2PT,False
16,406,108.373,3.662,1.949,3PT,False,2PT,False
17,410,109.438,2.198,1.53,3PT,False,2PT,False
18,426,113.686,5.51,1.922,3PT,False,2PT,False
19,438,116.874,2.22,1.815,3PT,False,2PT,False
20,442,117.938,2.566,1.757,3PT,False,2PT,False
21,500,133.343,4.72,3.432,3PT,False,2PT,False
22,511,136.529,4.94,2.522,3PT,False,2PT,False
23,515,137.592,4.896,2.525,3PT,False,2PT,False
24,519,138.654,4.912,2.549,3PT,False,2PT,False
25,525,140.249,4.973,2.571,3PT,False,2PT,False
26,531,141.843,4.896,2.667,3PT,False,2PT,False
27,545,145.561,4.567,2.645,3PT,False,2PT,False
28,549,146.623,4.616,2.601,3PT,False,2PT,False
29,553,147.688,4.666,2.599,3PT,False,2PT,False
30,557,148.749,4.677,2.544,3PT,False,2PT,False
31,561,149.812,4.775,3.435,3PT,False,2PT,False
32,593,158.312,3.586,1.491,3PT,False,2PT,False
33,597,159.379,4.15,1.308,3PT,False,2PT,False
34,601,160.44,4.709,1.064,3PT,False,2PT,False
35,605,161.502,4.962,1.787,3PT,False,2PT,False
36,691,184.343,5.164,2.031,3PT,False,2PT,False
37,695,185.406,4.156,2.651,3PT,False,2PT,False
38,892,238.014,2.473,1.691,3PT,False,2PT,False
39,896,239.083,5.016,1.902,3PT,False,2PT,False
40,900,240.15,4.698,2.16,3PT,False,2PT,False
41,932,248.653,3.18,1.576,3PT,False,2PT,False
42,936,249.702,3.613,2.188,3PT,False,2PT,False
