attempt_id,frame,time_s,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,shot_type_final,made_final
0,95,25.333,4.534,2.229,2PT,True,2PT,True
1,172,45.867,2.253,1.694,unknown,False,2PT,True
2,172,45.867,2.253,1.694,unknown,False,2PT,True
3,408,108.8,4.298,2.226,unknown,False,2PT,False
4,500,133.333,4.72,3.432,unknown,False,2PT,False
5,558,148.8,4.693,2.549,unknown,False,2PT,False
6,558,148.8,4.693,2.549,unknown,False,2PT,False
7,693,184.8,4.156,2.651,unknown,False,2PT,True
8,937,249.867,3.613,2.188,unknown,False,2PT,False
9,937,249.867,3.613,2.188,unknown,False,2PT,False
10,1119,298.4,3.443,1.631,unknown,False,2PT,False
11,1120,298.667,3.448,2.171,unknown,False,2PT,False
12,1134,302.4,3.914,2.251,unknown,False,2PT,False
13,1134,302.4,3.914,2.251,unknown,False,2PT,False
14,1276,340.267,4.298,2.64,unknown,False,2PT,False
15,1276,340.267,4.298,2.64,unknown,False,2PT,False
16,1278,340.8,4.353,2.812,unknown,False,2PT,False
17,1467,391.2,3.279,2.654,2PT,True,2PT,True
18,2155,574.667,5.466,2.492,2PT,True,2PT,True
19,2230,594.667,3.377,1.9,unknown,False,2PT,False
20,2230,594.667,3.377,1.9,unknown,False,2PT,False
21,2275,606.667,2.802,1.738,unknown,False,2PT,False
