attempt_id,frame,time_s,peak_frame,peak_y_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,signal_override,shot_type_final,made_final
0,194,51.733,194,202.41,,,unknown,False,0.0,unknown,False
1,245,65.333,245,162.93,,,unknown,False,0.0,unknown,False
2,446,118.933,446,242.77,,,unknown,False,0.0,unknown,False
3,528,140.8,528,128.26,0.001,0.005,2PT,False,0.0,2PT,False
4,563,150.133,563,348.45,,,unknown,False,0.0,unknown,False
5,1079,287.733,1079,345.92,,,unknown,False,0.0,unknown,False
6,1111,296.267,1111,307.82,,,unknown,False,0.0,unknown,False
7,1187,316.533,1187,269.18,,,unknown,False,0.0,unknown,False
8,1270,338.667,1270,271.23,,,unknown,False,0.0,unknown,False
9,1330,354.667,1330,303.12,0.002,0.003,2PT,False,0.0,2PT,False
10,1745,465.333,1745,122.13,,,unknown,False,0.0,unknown,False
11,1874,499.733,1874,307.51,,,unknown,False,0.0,unknown,False
12,2059,549.067,2059,367.4,,,unknown,False,0.0,unknown,False
13,2154,574.4,2154,103.9,0.003,0.004,2PT,False,0.0,2PT,False
14,2237,596.533,2237,375.06,,,unknown,False,0.0,unknown,False
15,2259,602.4,2259,387.21,,,unknown,False,0.0,unknown,False
16,2277,607.2,2277,324.9,,,unknown,False,0.0,unknown,False
17,2703,720.8,2703,377.68,,,unknown,False,,unknown,False
18,2704,721.067,2704,377.68,,,unknown,False,,unknown,False
