frame,hoop_x,hoop_y,rim_radius,ft_per_px,n_lines
0,771,420,19,0.0390625,36
2,631,442,19,0.0390625,41
4,253,442,19,0.0390625,30
6,575,442,19,0.0390625,44
8,870,419,19,0.0390625,45
10,323,442,19,0.0390625,42
12,866,419,19,0.0390625,57
14,869,419,19,0.0390625,54
16,453,442,19,0.0390625,54
18,366,422,19,0.0390625,53
20,847,420,19,0.0390625,59
22,557,421,19,0.0390625,46
24,861,419,19,0.0390625,56
26,873,420,19,0.0390625,44
28,644,302,19,0.0390625,26
30,341,416,19,0.0390625,34
32,887,403,19,0.0390625,11
34,220,414,19,0.0390625,10
36,224,493,19,0.0390625,59
38,367,508,19,0.0390625,39
40,1030,459,19,0.0390625,28
42,1046,306,19,0.0390625,37
44,598,358,19,0.0390625,24
46,572,377,19,0.0390625,12
48,297,460,19,0.0390625,33
50,148,233,19,0.0390625,49
52,153,231,19,0.0390625,27
54,193,495,19,0.0390625,55
56,1018,447,19,0.0390625,20
58,768,337,19,0.0390625,16
60,1399,238,19,0.0390625,35
62,711,532,19,0.0390625,18
64,1030,507,19,0.0390625,13
66,983,397,19,0.0390625,43
68,1071,417,19,0.0390625,31
70,477,505,19,0.0390625,42
72,838,421,19,0.0390625,38
74,1118,481,19,0.0390625,16
76,252,318,19,0.0390625,12
78,742,487,19,0.0390625,37
80,800,220,19,0.0390625,43
82,725,366,19,0.0390625,44
84,1122,241,19,0.0390625,26
86,313,197,19,0.0390625,42
88,321,203,19,0.0390625,50
90,323,209,19,0.0390625,53
92,328,212,19,0.0390625,63
94,1119,444,19,0.0390625,67
96,340,211,19,0.0390625,52
98,339,207,19,0.0390625,40
100,1121,434,19,0.0390625,43
102,324,201,19,0.0390625,29
104,1130,402,19,0.0390625,38
106,344,200,19,0.0390625,60
108,826,408,19,0.0390625,41
110,1157,251,19,0.0390625,21
112,1017,215,19,0.0390625,38
114,277,250,19,0.0390625,44
116,811,239,19,0.0390625,38
118,1127,235,19,0.0390625,27
120,1131,230,19,0.0390625,54
122,633,196,19,0.0390625,43
124,1092,486,19,0.0390625,54
126,1095,481,19,0.0390625,37
128,1043,459,19,0.0390625,36
130,934,425,19,0.0390625,37
132,909,408,19,0.0390625,46
134,795,371,19,0.0390625,29
136,789,416,19,0.0390625,33
138,752,388,19,0.0390625,23
140,320,330,19,0.0390625,17
142,238,346,19,0.0390625,23
144,988,327,19,0.0390625,46
146,955,304,19,0.0390625,89
148,269,355,19,0.0390625,79
150,268,360,19,0.0390625,76
152,497,390,19,0.0390625,95
154,149,352,19,0.0390625,32
156,408,372,19,0.0390625,26
158,988,486,19,0.0390625,52
160,316,410,19,0.0390625,35
