filename,confidence,source_clip
F0223_s8.5_frame_0021.jpg,0.863,F0223_s8.5
F0223_s8.5_frame_0026.jpg,0.863,F0223_s8.5
F0988_s8.5_frame_0156.jpg,0.849,F0988_s8.5
F0934_s6.5_frame_0086.jpg,0.824,F0934_s6.5
F2303_s6.5_frame_0021.jpg,0.821,F2303_s6.5
F2303_s6.5_frame_0026.jpg,0.821,F2303_s6.5
F0934_s6.5_frame_0081.jpg,0.82,F0934_s6.5
F0934_s6.5_frame_0106.jpg,0.811,F0934_s6.5
F0223_s8.5_frame_0066.jpg,0.808,F0223_s8.5
F0934_s6.5_frame_0101.jpg,0.802,F0934_s6.5
F0988_s8.5_frame_0161.jpg,0.798,F0988_s8.5
F0988_s8.5_frame_0166.jpg,0.798,F0988_s8.5
F0223_s8.5_frame_0086.jpg,0.794,F0223_s8.5
F2303_s6.5_frame_0126.jpg,0.779,F2303_s6.5
F0988_s8.5_frame_0106.jpg,0.776,F0988_s8.5
F0934_s6.5_frame_0161.jpg,0.761,F0934_s6.5
F0934_s6.5_frame_0166.jpg,0.761,F0934_s6.5
F2303_s6.5_frame_0111.jpg,0.76,F2303_s6.5
F0223_s8.5_frame_0056.jpg,0.757,F0223_s8.5
F0934_s6.5_frame_0036.jpg,0.754,F0934_s6.5
F2701_s5.5_frame_0041.jpg,0.747,F2701_s5.5
F0223_s8.5_frame_0116.jpg,0.744,F0223_s8.5
F0223_s8.5_frame_0121.jpg,0.744,F0223_s8.5
F0934_s6.5_frame_0131.jpg,0.73,F0934_s6.5
F0988_s8.5_frame_0131.jpg,0.729,F0988_s8.5
F0988_s8.5_frame_0101.jpg,0.698,F0988_s8.5
F2701_s5.5_frame_0021.jpg,0.692,F2701_s5.5
F2701_s5.5_frame_0026.jpg,0.692,F2701_s5.5
F0934_s6.5_frame_0091.jpg,0.673,F0934_s6.5
F0934_s6.5_frame_0096.jpg,0.673,F0934_s6.5
F0934_s6.5_frame_0056.jpg,0.671,F0934_s6.5
F0988_s8.5_frame_0036.jpg,0.664,F0988_s8.5
F2701_s5.5_frame_0046.jpg,0.658,F2701_s5.5
F2701_s5.5_frame_0051.jpg,0.658,F2701_s5.5
F0223_s8.5_frame_0031.jpg,0.642,F0223_s8.5
F0934_s6.5_frame_0021.jpg,0.636,F0934_s6.5
F0934_s6.5_frame_0026.jpg,0.636,F0934_s6.5
F0223_s8.5_frame_0061.jpg,0.615,F0223_s8.5
F0934_s6.5_frame_0071.jpg,0.606,F0934_s6.5
F0934_s6.5_frame_0076.jpg,0.606,F0934_s6.5
F2701_s5.5_frame_0031.jpg,0.58,F2701_s5.5
F0934_s6.5_frame_0061.jpg,0.576,F0934_s6.5
F2303_s6.5_frame_0101.jpg,0.569,F2303_s6.5
F2303_s6.5_frame_0001.jpg,0.565,F2303_s6.5
F2303_s6.5_frame_0006.jpg,0.565,F2303_s6.5
F0223_s8.5_frame_0151.jpg,0.555,F0223_s8.5
F0988_s8.5_frame_0126.jpg,0.553,F0988_s8.5
F0988_s8.5_frame_0056.jpg,0.549,F0988_s8.5
F0223_s8.5_frame_0046.jpg,0.538,F0223_s8.5
F0223_s8.5_frame_0051.jpg,0.538,F0223_s8.5
F0934_s6.5_frame_0126.jpg,0.529,F0934_s6.5
F2303_s6.5_frame_0086.jpg,0.529,F2303_s6.5
F0934_s6.5_frame_0046.jpg,0.526,F0934_s6.5
F0934_s6.5_frame_0051.jpg,0.526,F0934_s6.5
F0934_s6.5_frame_0031.jpg,0.523,F0934_s6.5
F2303_s6.5_frame_0011.jpg,0.522,F2303_s6.5
F0223_s8.5_frame_0101.jpg,0.519,F0223_s8.5
F0223_s8.5_frame_0126.jpg,0.517,F0223_s8.5
F2303_s6.5_frame_0081.jpg,0.517,F2303_s6.5
F0223_s8.5_frame_0041.jpg,0.514,F0223_s8.5
F0988_s8.5_frame_0046.jpg,0.514,F0988_s8.5
F0988_s8.5_frame_0051.jpg,0.514,F0988_s8.5
F0988_s8.5_frame_0146.jpg,0.51,F0988_s8.5
F0934_s6.5_frame_0136.jpg,0.503,F0934_s6.5
F0934_s6.5_frame_0141.jpg,0.503,F0934_s6.5
F0934_s6.5_frame_0011.jpg,0.499,F0934_s6.5
F0934_s6.5_frame_0041.jpg,0.485,F0934_s6.5
F0934_s6.5_frame_0116.jpg,0.471,F0934_s6.5
F0934_s6.5_frame_0121.jpg,0.471,F0934_s6.5
F0988_s8.5_frame_0071.jpg,0.461,F0988_s8.5
F0988_s8.5_frame_0076.jpg,0.461,F0988_s8.5
F0223_s8.5_frame_0156.jpg,0.452,F0223_s8.5
F0934_s6.5_frame_0156.jpg,0.444,F0934_s6.5
F0223_s8.5_frame_0081.jpg,0.437,F0223_s8.5
F2303_s6.5_frame_0151.jpg,0.436,F2303_s6.5
F0988_s8.5_frame_0011.jpg,0.425,F0988_s8.5
F2303_s6.5_frame_0136.jpg,0.424,F2303_s6.5
F2303_s6.5_frame_0141.jpg,0.424,F2303_s6.5
F0988_s8.5_frame_0041.jpg,0.421,F0988_s8.5
F2303_s6.5_frame_0091.jpg,0.398,F2303_s6.5
F2303_s6.5_frame_0096.jpg,0.398,F2303_s6.5
F0223_s8.5_frame_0036.jpg,0.392,F0223_s8.5
F2303_s6.5_frame_0031.jpg,0.39,F2303_s6.5
F2303_s6.5_frame_0016.jpg,0.381,F2303_s6.5
F0988_s8.5_frame_0116.jpg,0.378,F0988_s8.5
F0988_s8.5_frame_0121.jpg,0.378,F0988_s8.5
F2701_s5.5_frame_0036.jpg,0.373,F2701_s5.5
F2303_s6.5_frame_0056.jpg,0.364,F2303_s6.5
F0223_s8.5_frame_0091.jpg,0.361,F0223_s8.5
F0223_s8.5_frame_0096.jpg,0.361,F0223_s8.5
F2303_s6.5_frame_0116.jpg,0.352,F2303_s6.5
F2303_s6.5_frame_0121.jpg,0.352,F2303_s6.5
F0988_s8.5_frame_0086.jpg,0.35,F0988_s8.5
F0988_s8.5_frame_0081.jpg,0.339,F0988_s8.5
F2303_s6.5_frame_0036.jpg,0.32,F2303_s6.5
F0223_s8.5_frame_0071.jpg,0.315,F0223_s8.5
F0223_s8.5_frame_0076.jpg,0.315,F0223_s8.5
F0988_s8.5_frame_0016.jpg,0.31,F0988_s8.5
F0934_s6.5_frame_0016.jpg,0.301,F0934_s6.5
F0223_s8.5_frame_0106.jpg,0.292,F0223_s8.5
F2701_s5.5_frame_0056.jpg,0.292,F2701_s5.5
F2303_s6.5_frame_0146.jpg,0.278,F2303_s6.5
F0988_s8.5_frame_0021.jpg,0.277,F0988_s8.5
F0988_s8.5_frame_0026.jpg,0.277,F0988_s8.5
F0988_s8.5_frame_0031.jpg,0.276,F0988_s8.5
F0988_s8.5_frame_0006.jpg,0.275,F0988_s8.5
