track_id,frame,cx,cy,conf
0,25,615.0,215.0,0.673
0,29,568.0,293.0,0.529
1,47,681.0,346.0,0.301
1,48,682.0,329.0,0.721
1,49,680.0,332.0,0.571
2,56,746.0,302.0,0.477
2,58,689.0,299.0,0.425
3,58,650.0,226.0,0.654
3,59,651.0,237.0,0.601
3,61,661.0,215.0,0.462
4,70,389.0,211.0,0.306
4,71,404.0,209.0,0.48
5,71,663.0,357.0,0.535
5,74,696.0,349.0,0.53
6,78,919.0,311.0,0.321
6,79,949.0,285.0,0.38
7,84,646.0,447.0,0.698
7,85,677.0,429.0,0.394
8,84,466.0,405.0,0.59
8,85,475.0,369.0,0.393
9,89,518.0,334.0,0.317
9,90,531.0,324.0,0.351
9,93,564.0,332.0,0.54
10,94,506.0,390.0,0.542
10,96,444.0,353.0,0.392
11,100,439.0,347.0,0.615
11,101,460.0,375.0,0.495
12,103,566.0,394.0,0.477
12,104,597.0,409.0,0.491
13,106,646.0,362.0,0.374
13,108,628.0,406.0,0.519
13,110,602.0,408.0,0.306
14,111,788.0,447.0,0.462
14,113,775.0,380.0,0.372
15,126,248.0,384.0,0.845
15,127,248.0,396.0,0.739
16,129,238.0,433.0,0.618
16,130,247.0,433.0,0.817
17,133,365.0,435.0,0.636
17,134,392.0,446.0,0.791
18,135,427.0,500.0,0.839
18,136,440.0,529.0,0.592
18,139,520.0,452.0,0.499
19,158,1139.0,365.0,0.344
19,161,1053.0,432.0,0.369
20,167,779.0,251.0,0.505
20,168,764.0,244.0,0.577
20,173,822.0,363.0,0.391
20,174,821.0,362.0,0.604
20,175,810.0,362.0,0.582
20,177,776.0,366.0,0.515
21,190,598.0,158.0,0.377
21,194,533.0,283.0,0.295
22,200,699.0,321.0,0.352
22,206,681.0,480.0,0.679
23,217,854.0,436.0,0.851
23,218,859.0,424.0,0.362
23,219,858.0,410.0,0.675
24,223,1103.0,345.0,0.589
24,224,1128.0,338.0,0.606
25,227,1117.0,333.0,0.773
25,228,1133.0,335.0,0.457
25,229,1139.0,349.0,0.577
25,230,1140.0,362.0,0.285
25,231,1147.0,369.0,0.326
25,232,1161.0,385.0,0.635
26,239,1148.0,480.0,0.459
26,240,1148.0,470.0,0.718
26,242,1136.0,537.0,0.512
27,247,878.0,338.0,0.379
27,248,844.0,323.0,0.676
28,249,792.0,385.0,0.644
28,253,706.0,315.0,0.629
28,254,701.0,284.0,0.717
29,257,267.0,225.0,0.301
29,258,278.0,222.0,0.24
30,259,215.0,194.0,0.274
30,260,249.0,188.0,0.585
31,263,325.0,338.0,0.469
31,266,314.0,386.0,0.501
32,271,617.0,291.0,0.243
32,273,611.0,263.0,0.269
33,275,571.0,318.0,0.604
33,281,631.0,302.0,0.567
34,281,265.0,369.0,0.498
34,282,267.0,361.0,0.334
35,275,294.0,285.0,0.445
35,281,344.0,302.0,0.32
35,282,342.0,326.0,0.434
35,283,361.0,348.0,0.572
36,288,489.0,325.0,0.316
36,292,634.0,310.0,0.457
37,301,596.0,284.0,0.488
37,303,596.0,270.0,0.612
38,301,500.0,336.0,0.345
38,303,539.0,396.0,0.501
39,301,741.0,292.0,0.432
39,303,738.0,230.0,0.263
40,309,962.0,273.0,0.701
40,313,964.0,285.0,0.573
41,309,738.0,279.0,0.404
41,313,846.0,377.0,0.339
41,315,819.0,319.0,0.463
42,315,585.0,386.0,0.446
42,318,666.0,422.0,0.404
43,340,1150.0,340.0,0.39
43,347,1273.0,461.0,0.278
44,349,701.0,499.0,0.366
44,353,744.0,567.0,0.424
45,362,287.0,241.0,0.39
45,364,277.0,271.0,0.79
45,366,316.0,313.0,0.822
45,368,317.0,352.0,0.672
46,369,291.0,402.0,0.604
46,370,293.0,410.0,0.737
47,374,492.0,541.0,0.331
47,380,468.0,378.0,0.408
47,381,472.0,371.0,0.628
47,383,429.0,408.0,0.681
47,384,464.0,396.0,0.498
48,386,860.0,427.0,0.795
48,390,985.0,496.0,0.592
48,391,1000.0,462.0,0.522
48,393,948.0,414.0,0.511
49,402,374.0,295.0,0.48
49,403,373.0,299.0,0.47
50,417,679.0,208.0,0.242
50,418,643.0,194.0,0.225
51,420,709.0,368.0,0.348
51,422,739.0,323.0,0.241
52,428,943.0,368.0,0.591
52,429,952.0,363.0,0.498
53,435,916.0,356.0,0.539
53,439,870.0,314.0,0.457
53,443,946.0,333.0,0.393
54,444,931.0,251.0,0.547
54,445,913.0,247.0,0.529
55,445,794.0,402.0,0.281
55,447,822.0,409.0,0.363
56,450,601.0,323.0,0.506
56,451,582.0,332.0,0.268
57,453,425.0,260.0,0.64
57,455,377.0,271.0,0.316
58,465,763.0,390.0,0.762
58,467,758.0,341.0,0.389
59,475,745.0,407.0,0.29
59,481,700.0,540.0,0.367
59,482,700.0,540.0,0.506
59,483,700.0,540.0,0.605
59,484,701.0,540.0,0.326
59,485,701.0,540.0,0.285
59,486,701.0,539.0,0.317
59,487,701.0,539.0,0.368
59,488,701.0,539.0,0.341
60,492,94.0,324.0,0.427
60,493,94.0,325.0,0.403
60,494,94.0,324.0,0.319
61,494,700.0,543.0,0.38
61,495,700.0,546.0,0.373
62,502,715.0,533.0,0.407
