frame,cx,cy,w,h,conf,source
0,294.0,716.0,12.0,8.0,0.189,color_only
0,976.0,714.0,8.0,11.0,0.19,color_only
0,1125.0,705.0,22.0,29.0,0.199,color_only
0,224.0,684.0,32.0,24.0,0.234,color_only
0,1276.0,676.0,8.0,12.0,0.198,color_only
0,1199.0,656.0,18.0,9.0,0.175,color_only
0,62.0,677.0,60.0,54.0,0.238,color_only
0,569.0,636.0,14.0,7.0,0.162,color_only
0,633.0,631.0,18.0,17.0,0.221,color_only
0,59.0,609.0,10.0,13.0,0.176,color_only
0,441.0,601.0,14.0,12.0,0.156,color_only
0,728.0,605.0,44.0,28.0,0.218,color_only
0,56.0,596.0,16.0,10.0,0.162,color_only
0,16.0,593.0,16.0,14.0,0.164,color_only
0,1208.0,587.0,16.0,18.0,0.157,color_only
0,936.0,562.0,16.0,24.0,0.189,color_only
0,283.0,557.0,18.0,22.0,0.192,color_only
0,203.0,553.0,18.0,15.0,0.191,color_only
0,331.0,561.0,14.0,32.0,0.156,color_only
0,234.0,558.0,28.0,28.0,0.262,color_only
0,1271.0,555.0,18.0,26.0,0.249,color_only
0,427.0,540.0,22.0,24.0,0.241,color_only
0,327.0,532.0,10.0,11.0,0.173,color_only
0,597.0,535.0,34.0,30.0,0.253,color_only
0,27.0,511.0,26.0,33.0,0.279,color_only
0,633.0,486.0,18.0,21.0,0.154,color_only
0,680.0,479.0,12.0,11.0,0.202,color_only
0,281.0,477.0,22.0,30.0,0.25,color_only
0,192.0,463.0,32.0,34.0,0.268,color_only
0,652.0,432.0,24.0,21.0,0.371,color_only
0,1057.0,431.0,46.0,39.0,0.249,color_only
0,1230.0,426.0,32.0,32.0,0.203,color_only
0,736.0,411.0,36.0,25.0,0.199,color_only
0,105.0,408.0,22.0,31.0,0.192,color_only
0,159.0,396.0,18.0,16.0,0.185,color_only
0,1167.0,384.0,30.0,35.0,0.248,color_only
0,224.0,387.0,64.0,42.0,0.225,color_only
0,169.0,366.0,14.0,20.0,0.201,color_only
0,1024.0,367.0,32.0,34.0,0.199,color_only
0,122.0,353.0,24.0,21.0,0.184,color_only
0,1179.0,349.0,14.0,14.0,0.183,color_only
0,670.0,347.0,12.0,10.0,0.294,color_only
0,475.0,366.0,58.0,51.0,0.237,color_only
0,204.0,343.0,24.0,17.0,0.232,color_only
0,1262.0,361.0,36.0,54.0,0.236,color_only
0,271.0,335.0,34.0,33.0,0.251,color_only
0,1040.0,321.0,32.0,30.0,0.224,color_only
0,208.0,316.0,32.0,24.0,0.263,color_only
0,682.0,298.0,16.0,8.0,0.162,color_only
0,1263.0,307.0,34.0,43.0,0.272,color_only
0,1213.0,287.0,30.0,34.0,0.255,color_only
0,551.0,251.0,18.0,18.0,0.189,color_only
0,255.0,244.0,34.0,24.0,0.255,color_only
0,1191.0,234.0,13.0,12.0,0.196,color_only
0,1013.0,234.0,10.0,19.0,0.138,color_only
0,469.0,234.0,34.0,20.0,0.231,color_only
0,186.0,237.0,33.0,26.0,0.187,color_only
1,293.0,716.0,14.0,8.0,0.175,color_only
1,976.0,714.0,8.0,11.0,0.19,color_only
1,1125.0,705.0,22.0,29.0,0.199,color_only
