frame,bx,by,dist,type,result,conf
33,597.2,342.4,140.9,3PT,MISS,0.0004
68,212.3,378.1,180.6,3PT,MISS,0.0004
120,1106.1,473.5,93.4,2PT,MISS,0.0016
236,241.4,507.1,120.6,3PT,MISS,0.0003
259,241.1,280.5,175.4,3PT,MISS,0.0004
297,594.1,405.9,183.3,3PT,MISS,0.0002
467,273.2,440.4,160.6,3PT,MISS,0.0016
617,276.8,429.3,65.7,2PT,MISS,0.0003
647,463.4,436.2,138.9,3PT,MISS,0.0003
724,466.8,308.0,159.8,3PT,MISS,0.0013
808,977.7,630.8,160.6,3PT,MISS,0.0017
934,305.8,381.8,87.6,2PT,MISS,0.0003
990,1043.1,537.0,183.4,3PT,MISS,0.001
1072,433.8,407.2,116.3,2PT,MISS,0.001
1290,693.3,439.3,21.2,2PT,MAKE,0.0008
1413,853.5,502.0,109.8,2PT,MISS,0.0006
1468,881.7,500.1,83.2,2PT,MISS,0.0002
1614,721.9,404.4,8.0,2PT,MAKE,0.0003
1768,338.2,565.9,62.3,2PT,MISS,0.0002
2051,304.6,439.4,37.4,2PT,MAKE,0.0011
2174,915.1,474.6,99.3,2PT,MISS,0.0012
2318,785.0,472.8,22.9,2PT,MAKE,0.0008
2435,948.7,440.5,73.0,2PT,MISS,0.0007
2505,756.6,440.7,164.8,3PT,MISS,0.0005
2591,785.3,506.6,65.5,2PT,MISS,0.0007
2642,467.4,507.5,139.4,3PT,MISS,0.0004
