frame,cluster_size,cluster_start,cluster_end,bx,by,basket,dist,type,result
120,3,115,135,1106.1,473.5,R,97.4,2PT,MISS
237,2,236,237,146.3,534.4,L,34.1,2PT,MAKE
446,4,446,469,883.5,473.9,R,125.8,3PT,MISS
617,1,617,617,276.8,429.3,L,136.8,3PT,MISS
990,1,990,990,1043.1,537.0,R,78.7,2PT,MISS
1303,2,1303,1308,883.0,473.7,R,126.2,3PT,MISS
1366,1,1366,1366,884.4,441.9,R,126.9,3PT,MISS
1468,1,1468,1468,881.7,500.1,R,131.8,3PT,MISS
1609,1,1609,1609,918.0,437.4,R,95.4,2PT,MISS
1774,2,1774,1780,179.4,407.1,L,117.9,2PT,MISS
2174,1,2174,2174,915.1,474.6,R,94.3,2PT,MISS
2435,1,2435,2435,948.7,440.5,R,65.4,2PT,MISS
