frame,ball_basket_dist,motion_spike,which,ball_x,ball_y
39,155.2,77655.0,right,952.5,544.0
167,141.2,41.1,right,777.9,349.9
252,122.2,54138.0,right,782.8,320.8
347,252.2,75053.1,right,1130.9,286.7
387,105.7,11641.0,right,661.3,387.8
427,147.3,-9913.9,right,619.6,374.1
464,152.2,57702.7,right,820.7,411.6
502,64.5,966.0,right,700.8,546.2
542,53.5,-8175.0,right,712.9,540.6
857,199.6,81057.1,left,417.7,552.4
941,109.1,96408.3,right,806.2,374.9
1010,275.0,104983.0,left,139.8,354.8
1052,60.3,-8940.9,right,838.5,455.8
1112,249.8,64104.6,right,732.5,366.9
1145,264.8,64559.1,right,870.3,359.6
1183,248.3,82693.8,right,1064.1,327.0
1312,258.2,58506.9,right,903.4,292.7
1457,47.5,18402.8,right,1084.3,598.3
1517,51.9,-15041.1,right,1098.9,604.5
1607,50.4,43445.1,right,947.7,458.1
1642,243.4,53156.3,left,292.4,283.5
1707,81.6,54537.4,right,923.3,549.8
1752,90.4,6691.3,left,275.7,414.7
1996,199.1,64690.7,right,756.9,342.9
2039,317.9,53756.1,right,722.0,234.3
2087,124.2,1135.3,left,123.9,566.9
2147,71.7,-19262.7,left,253.1,502.2
2197,67.1,-18969.3,left,226.9,591.6
2324,207.7,69908.2,right,947.4,367.4
2482,90.7,15607.0,right,1070.5,517.6
2597,25.7,-16358.8,right,1184.7,538.0
2652,113.1,52518.0,right,839.0,468.4
2687,143.3,44207.0,right,829.7,431.1
