frame,make_miss,closest_px,anchor_px,origin_distance_ft,origin_lateral_ft,emergence_angle,emergence_dist_px,emergence_n_points,corridor_stability,anchor_confidence,origin_sector,nearest_basket,origin,scale,km3,km4,hdbscan,spectral
115,MISS,72.3,109.8,6.1,5.8,-8.7,31.3,3,0.31,0.11,paint,right,"(1013, 575)",17.9,0,1,-1,0
236,MISS,64.9,64.9,8.0,2.7,-169.2,90.6,4,0.94,0.47,midrange,left,"(330, 524)",18.9,1,0,-1,2
467,MISS,101.9,126.7,7.6,2.7,151.5,13.8,4,1.0,0.5,midrange,left,"(285, 434)",18.5,1,0,-1,1
990,MAKE,51.0,78.7,7.3,6.1,-95.0,55.0,5,0.55,0.34,midrange,right,"(1048, 592)",18.1,0,1,-1,2
1283,MISS,135.8,173.4,9.7,2.5,167.7,39.7,8,0.8,0.8,midrange,right,"(887, 392)",14.7,1,0,-1,1
1413,MISS,159.6,159.6,9.1,4.0,30.7,13.2,3,1.0,0.37,midrange,right,"(842, 495)",18.5,1,0,-1,2
1468,MISS,116.0,131.8,7.1,3.6,143.1,0.6,14,0.19,0.19,midrange,right,"(882, 500)",18.5,0,3,-1,0
1650,MISS,75.3,179.0,13.9,13.6,20.0,133.4,4,0.88,0.44,ft_range,left,"(52, 300)",18.6,2,2,-1,2
1780,MISS,128.3,134.5,9.2,9.1,19.2,97.3,8,0.44,0.44,midrange,left,"(155, 377)",16.3,0,1,-1,0
2320,MISS,103.6,159.4,7.7,2.7,-176.2,19.7,5,0.13,0.08,midrange,right,"(869, 476)",18.1,0,1,-1,0
