frame,make_miss,closest_px,anchor_px,origin_distance_ft,origin_lateral_ft,emergence_angle,emergence_dist_px,emergence_n_points,corridor_stability,anchor_confidence,origin_sector,nearest_basket,origin,scale,growth,width,turn,angle_var,decay,track_len,anchor_idx,overlay_path,thumb_path
115,MISS,72.3,109.8,6.1,5.8,-8.7,31.3,3,0.31,0.11,paint,right,"(1013, 575)",17.9,22.073,14.63,0.961,0.544,0.55,25,15,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0115_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0115_thumb.jpg
236,MISS,64.9,64.9,8.0,2.7,-169.2,90.6,4,0.94,0.47,midrange,left,"(330, 524)",18.9,21.552,16.82,0.608,0.842,0.05,33,13,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0236_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0236_thumb.jpg
467,MISS,101.9,126.7,7.6,2.7,151.5,13.8,4,1.0,0.5,midrange,left,"(285, 434)",18.5,0.339,2.2,0.879,0.655,0.65,18,10,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0467_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0467_thumb.jpg
990,MAKE,51.0,78.7,7.3,6.1,-95.0,55.0,5,0.55,0.34,midrange,right,"(1048, 592)",18.1,3.604,22.36,1.239,0.54,0.8,16,11,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0990_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0990_thumb.jpg
1283,MISS,135.8,173.4,9.7,2.5,167.7,39.7,8,0.8,0.8,midrange,right,"(887, 392)",14.7,0.0,6.48,1.039,0.732,0.95,21,19,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1283_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1283_thumb.jpg
1413,MISS,159.6,159.6,9.1,4.0,30.7,13.2,3,1.0,0.37,midrange,right,"(842, 495)",18.5,0.339,13.71,1.061,0.577,0.8,16,11,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1413_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1413_thumb.jpg
1468,MISS,116.0,131.8,7.1,3.6,143.1,0.6,14,0.19,0.19,midrange,right,"(882, 500)",18.5,0.32,3.83,1.122,0.892,0.65,34,26,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1468_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1468_thumb.jpg
1650,MISS,75.3,179.0,13.9,13.6,20.0,133.4,4,0.88,0.44,ft_range,left,"(52, 300)",18.6,0.73,34.09,0.821,0.468,0.75,23,17,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1650_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1650_thumb.jpg
1780,MISS,128.3,134.5,9.2,9.1,19.2,97.3,8,0.44,0.44,midrange,left,"(155, 377)",16.3,2.426,18.48,0.888,0.352,-0.05,29,7,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1780_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1780_thumb.jpg
2320,MISS,103.6,159.4,7.7,2.7,-176.2,19.7,5,0.13,0.08,midrange,right,"(869, 476)",18.1,1.953,18.33,1.253,0.762,0.75,14,8,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F2320_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F2320_thumb.jpg
