frame,n_valid,anchor_dist,basket_x,basket_y,approach,total_movement,mean_speed,stationary_ratio,direction_consistency,rim_convergence,proximity_decay,terminates_in_hoop,basket_engagement,height_score,possession_score,path_straightness,is_shot,filter_reason,rim_min_dist,rim_monotonicity,rim_lane_occupancy,rim_vertical_collapse,rim_terminal_hoop,rim_post_dispersion,rim_engagement_score,state_speed_mean,state_speed_std,state_dwell_max,state_stationary_ratio,state_spatial_spread,state_direction_entropy,state_path_efficiency,state_height_variance,predicted_state,state_confidence,state_explanation,manual_state
16,2,184.1,179.0,525.0,-272.2,451.5,26.56,0.0,0.5,-272.24,0.0,False,0.0,0.523,0.1,1.0,False,too_few,430.0,0.5,0.0,0.0,False,0.0,0.075,26.56,0.0,0,0.0,0.07,0.0,1.0,0.001,transition,0.5,speed=26.6 eff=1.00,?
61,4,150.6,179.0,525.0,242.3,803.2,61.73,0.0,0.325,127.57,1.0,False,0.5,0.487,0.1,0.597,True,score=4.5,200.6,0.333,0.0,1.0,False,1.0,0.3,61.73,52.35,0,0.0,2.12,0.675,0.597,0.204,unknown,0.1,no clear pattern,possibly_shot
120,6,97.4,1009.0,466.0,-35.5,751.8,45.79,0.0,0.157,-9.26,0.5,False,0.2,0.233,0.1,0.303,False,moving_away,97.4,0.4,0.833,1.0,False,1.0,0.535,45.79,25.53,0,0.0,5.33,0.843,0.303,5.072,rim_attack,0.8,engagement=0.54 lane=83%,?
182,6,244.2,1009.0,466.0,165.5,745.5,31.6,0.0,0.187,40.98,0.5,False,0.25,0.462,0.1,0.46,True,score=4.0,244.2,0.6,0.0,1.0,False,1.0,0.34,31.6,6.5,0,0.0,6.56,0.813,0.46,9.424,live_attack,0.6,engagement=0.34 mono=0.60,unclear_weak
223,6,34.1,179.0,525.0,398.7,715.9,58.35,0.2,0.572,116.19,1.0,True,1.0,0.374,0.1,0.906,True,score=8.5,217.4,0.2,0.0,1.0,False,1.0,0.28,58.35,38.65,1,0.2,10.18,0.428,0.906,3.296,transition,0.5,speed=58.4 eff=0.91,dead_ball
258,2,250.7,179.0,525.0,-1.5,33.3,33.27,0.0,0.5,-1.52,0.0,False,0.0,0.614,0.1,1.0,False,too_few,250.7,0.5,0.0,0.0,False,0.0,0.075,33.27,0.0,0,0.0,0.01,0.0,1.0,0.005,transition,0.5,speed=33.3 eff=1.00,?
495,30,242.6,1009.0,466.0,-15.2,1179.8,39.61,0.31,0.173,1.21,0.5,False,0.0,0.356,0.1,0.037,False,score=1.5,242.6,0.517,0.0,0.643,False,0.008,0.174,39.61,68.5,2,0.31,4.22,0.827,0.037,1.344,unknown,0.1,no clear pattern,?
531,29,291.1,179.0,525.0,18.8,437.4,14.61,0.607,0.136,1.13,0.714,False,0.25,0.37,0.5,0.074,False,score=-0.2,291.1,0.607,0.0,0.257,False,0.289,0.13,14.61,18.67,3,0.607,0.43,0.864,0.074,0.245,dead_ball,0.8,stationary=61% dwell=3,?
582,16,221.4,1009.0,466.0,51.0,338.2,22.55,0.667,0.315,19.25,0.857,False,0.5,0.394,0.1,0.856,True,score=3.0,329.3,0.267,0.0,0.01,False,1.0,0.141,22.55,48.98,9,0.667,1.07,0.685,0.856,0.162,dead_ball,0.8,stationary=67% dwell=9,live_attack
617,3,136.8,179.0,525.0,98.7,727.4,100.73,0.0,0.092,-51.36,0.0,False,0.0,0.495,0.1,0.179,True,score=4.0,136.8,0.5,0.0,0.0,False,0.0,0.175,100.73,39.23,0,0.0,4.71,0.908,0.179,2.32,unknown,0.1,no clear pattern,possibly_shot
647,11,257.5,1009.0,466.0,-52.3,1001.5,73.9,0.1,0.454,-4.23,0.6,False,0.25,0.397,0.1,0.123,False,moving_away,297.9,0.6,0.0,0.355,False,0.609,0.243,73.9,81.51,1,0.1,3.17,0.546,0.123,1.122,unknown,0.1,no clear pattern,?
790,10,167.8,1009.0,466.0,11.0,1431.8,127.36,0.0,0.181,-8.1,0.5,False,0.0,0.371,0.1,0.162,False,score=2.5,362.8,0.556,0.0,0.203,False,1.0,0.214,127.36,137.23,0,0.0,11.37,0.819,0.162,7.584,perimeter_circulation,0.4,spread=11.4,?
850,3,209.0,1009.0,466.0,-67.3,512.4,53.39,0.0,0.99,-77.4,0.0,False,0.0,0.575,0.1,0.99,False,moving_away,209.0,0.5,0.0,0.0,False,0.0,0.075,53.39,21.37,0,0.0,4.08,0.01,0.99,1.473,transition,0.5,speed=53.4 eff=0.99,?
934,3,191.3,179.0,525.0,133.4,325.6,12.92,0.5,0.188,134.74,1.0,False,0.5,0.445,0.5,0.984,True,score=3.8,385.8,0.5,0.0,0.0,False,0.0,0.075,12.92,10.14,1,0.5,0.87,0.812,0.984,0.159,unknown,0.1,no clear pattern,transition
988,3,78.7,1009.0,466.0,324.6,490.8,99.05,0.0,0.993,183.13,1.0,True,1.0,0.328,0.1,0.993,True,score=9.0,78.7,1.0,0.333,0.0,True,0.0,0.6,99.05,4.47,0,0.0,4.47,0.007,0.993,1.541,rim_attack,0.8,engagement=0.60 lane=33%,inbound
1073,5,215.1,1009.0,466.0,49.3,1247.3,298.99,0.0,0.213,79.46,0.5,False,0.25,0.343,0.1,0.255,True,score=3.0,280.7,0.5,0.0,1.0,False,1.0,0.325,298.99,145.53,0,0.0,6.19,0.787,0.255,4.492,live_attack,0.6,engagement=0.33 mono=0.50,ft_setup
1292,17,126.2,1009.0,466.0,85.0,1752.1,83.31,0.0,0.425,22.05,0.875,False,0.5,0.416,0.1,0.203,True,score=4.5,126.2,0.75,0.0,0.143,False,1.0,0.334,83.31,83.2,0,0.0,3.52,0.575,0.203,0.857,live_attack,0.6,engagement=0.33 mono=0.75,dead_ball
1366,5,126.9,1009.0,466.0,-213.7,610.4,20.64,0.25,0.254,-104.49,1.0,False,0.25,0.386,0.1,0.688,False,moving_away,207.4,0.5,0.0,1.0,False,0.405,0.325,20.64,13.23,1,0.25,0.14,0.746,0.688,0.001,live_attack,0.6,engagement=0.33 mono=0.50,?
1421,11,159.6,1009.0,466.0,-104.4,573.2,46.31,0.3,0.134,-2.47,0.6,False,0.25,0.349,0.1,0.121,False,moving_away,159.6,0.5,0.0,0.219,False,0.759,0.308,46.31,41.02,2,0.3,1.87,0.866,0.121,1.151,live_attack,0.6,engagement=0.31 mono=0.50,?
1459,6,131.8,1009.0,466.0,7.2,420.2,69.96,0.2,0.154,24.04,0.5,False,0.25,0.359,0.1,0.303,False,score=2.0,131.8,0.4,0.0,1.0,False,1.0,0.41,69.96,87.11,1,0.2,1.38,0.846,0.303,0.522,rebound_scramble,0.5,dispersion=1.00,?
1547,7,228.3,1009.0,466.0,-110.2,795.8,74.33,0.167,0.38,16.06,1.0,False,0.5,0.452,0.1,0.123,False,moving_away,268.0,0.333,0.0,1.0,False,0.32,0.3,74.33,73.05,1,0.167,1.33,0.62,0.123,0.264,unknown,0.1,no clear pattern,?
1618,15,95.4,1009.0,466.0,-80.7,1902.8,89.64,0.0,0.24,-16.4,0.429,False,0.2,0.47,0.1,0.122,False,moving_away,95.4,0.357,0.067,0.374,False,0.741,0.32,89.64,71.73,0,0.0,4.52,0.76,0.122,1.135,rebound_scramble,0.5,dispersion=0.74,?
1671,11,230.5,179.0,525.0,-65.1,1015.8,80.38,0.2,0.329,-12.02,0.4,False,0.0,0.412,0.1,0.182,False,moving_away,230.5,0.4,0.0,0.351,False,0.588,0.213,80.38,81.07,1,0.2,2.6,0.671,0.182,1.027,unknown,0.1,no clear pattern,?
1712,4,223.1,1009.0,466.0,-169.5,1055.2,48.35,0.333,0.352,36.5,1.0,False,0.5,0.522,0.1,0.165,False,moving_away,226.2,0.333,0.0,1.0,False,1.0,0.3,48.35,36.82,1,0.333,4.16,0.648,0.165,1.157,unknown,0.1,no clear pattern,?
1764,10,117.9,179.0,525.0,453.1,1890.2,78.31,0.222,0.091,59.6,0.75,False,0.5,0.505,0.1,0.306,True,score=4.5,117.9,0.556,0.0,0.588,False,1.0,0.372,78.31,80.16,1,0.222,33.4,0.909,0.306,7.494,live_attack,0.6,engagement=0.37 mono=0.56,transition
1874,2,287.7,179.0,525.0,2.3,2.8,2.77,1.0,0.5,2.29,0.0,False,0.25,0.3,0.8,1.0,False,too_few,287.7,0.5,0.0,0.0,False,0.0,0.075,2.77,0.0,1,1.0,0.0,0.0,1.0,0.0,unknown,0.1,no clear pattern,?
1988,2,181.9,1009.0,466.0,-58.5,323.9,17.99,0.0,0.5,-58.46,0.0,False,0.0,0.523,0.1,1.0,False,too_few,181.9,0.5,0.0,0.0,False,0.0,0.075,17.99,0.0,0,0.0,2.09,0.0,1.0,1.081,transition,0.5,speed=18.0 eff=1.00,?
2064,25,152.0,179.0,525.0,5.6,1298.5,37.45,0.542,0.198,-5.34,0.583,False,0.25,0.364,0.1,0.1,False,score=1.5,152.0,0.667,0.0,0.235,False,0.009,0.235,37.45,63.63,3,0.542,6.18,0.802,0.1,1.287,perimeter_circulation,0.4,spread=6.2,?
2184,31,94.3,1009.0,466.0,-87.1,2010.3,61.08,0.267,0.068,-4.13,0.6,False,0.45,0.396,0.1,0.066,False,moving_away,295.2,0.467,0.0,0.482,False,0.126,0.142,61.08,79.07,2,0.267,8.57,0.932,0.066,1.225,perimeter_circulation,0.4,spread=8.6,?
2303,4,159.4,1009.0,466.0,471.8,658.0,37.33,0.0,0.992,216.34,1.0,False,0.5,0.42,0.1,0.992,True,score=6.0,159.4,1.0,0.0,1.0,False,1.0,0.5,37.33,4.49,0,0.0,8.12,0.008,0.992,3.237,live_attack,0.6,engagement=0.50 mono=1.00,perimeter_circulation
2371,5,194.0,179.0,525.0,12.2,908.5,30.23,0.0,0.191,15.9,0.5,False,0.25,0.477,0.1,0.175,False,score=2.5,194.0,0.5,0.0,1.0,False,1.0,0.325,30.23,10.47,0,0.0,5.79,0.809,0.175,2.339,live_attack,0.6,engagement=0.33 mono=0.50,?
2441,23,65.4,1009.0,466.0,-93.4,1071.1,31.83,0.455,0.155,0.1,0.636,False,0.45,0.375,0.1,0.003,False,moving_away,65.4,0.636,0.043,1.0,False,0.458,0.602,31.83,42.74,10,0.455,2.82,0.845,0.003,0.576,rim_attack,0.8,engagement=0.60 lane=4%,?
2505,2,253.7,1009.0,466.0,-6.5,30.2,5.04,0.0,0.5,-6.48,0.0,False,0.0,0.409,0.1,1.0,False,too_few,253.7,0.5,0.0,0.0,False,0.0,0.075,5.04,0.0,0,0.0,0.01,0.0,1.0,0.228,unknown,0.1,no clear pattern,?
2566,14,280.3,1009.0,466.0,-39.7,578.6,38.22,0.308,0.354,-4.88,0.5,False,0.0,0.436,0.1,0.158,False,moving_away,280.3,0.538,0.0,1.0,False,0.054,0.231,38.22,35.11,2,0.308,3.71,0.646,0.158,2.726,unknown,0.1,no clear pattern,?
2631,7,177.9,1009.0,466.0,-153.2,804.6,63.99,0.0,0.834,-49.23,0.0,False,0.0,0.509,0.1,0.919,False,moving_away,177.9,0.5,0.0,1.0,False,1.0,0.425,63.99,88.08,0,0.0,18.25,0.166,0.919,9.89,live_attack,0.6,engagement=0.42 mono=0.50,?
2701,2,279.9,179.0,525.0,213.0,224.3,224.26,0.0,0.5,212.95,0.0,False,0.25,0.43,0.1,1.0,False,too_few,279.9,0.5,0.0,0.0,False,0.0,0.075,224.26,0.0,0,0.0,0.01,0.0,1.0,0.0,transition,0.5,speed=224.3 eff=1.00,?
