frame,is_shot,reason,n_valid,anchor_dist,correct_half,dist_range,dist_start,dist_end,dist_min,approach,manual_shot,manual_detail,late_convergence,stationary_ratio,total_move,aspect_ratio,shot_score
16,False,no_convergence,2,184.1,True,272.2,184.1,456.3,184.1,-272.2,?,?,,,,,
61,True,score=6.5,4,150.6,True,543.3,533.3,150.6,150.6,382.7,no,transition,242.3,0.0,803.2,17.188,6.5
120,False,no_convergence,6,97.4,True,108.8,109.8,156.1,97.4,-46.3,?,?,,,,,
182,True,score=6.5,6,244.2,True,228.7,462.4,257.5,244.2,204.9,weak,unclear,165.5,0.0,745.5,1.035,6.5
223,True,score=8.5,6,34.1,True,581.0,615.0,34.1,34.1,581.0,no,dead_ball_halfcourt,398.7,0.2,715.9,4.58,8.5
258,False,flat_profile,2,250.7,True,1.5,,,,,?,?,,,,,
495,False,score=2.0,30,242.6,True,301.2,512.9,477.7,242.6,35.2,?,?,-15.2,0.31,1179.8,2.192,2.0
531,False,flat_profile,29,291.1,True,78.1,,,,,?,?,,,,,
582,False,score=3.0,16,221.4,True,290.4,510.2,221.4,221.4,288.8,yes,putback,51.0,0.667,338.2,5.164,3.0
617,False,no_convergence,3,136.8,True,402.9,437.0,539.7,136.8,-102.7,yes,jump_shot,,,,,
647,False,no_convergence,11,257.5,True,288.9,370.4,412.6,257.5,-42.3,?,?,,,,,
790,False,no_convergence,10,167.8,True,325.9,420.8,493.7,167.8,-72.9,?,?,,,,,
850,False,no_convergence,3,209.0,True,175.0,229.1,383.9,209.0,-154.8,?,?,,,,,
934,True,score=6.5,3,191.3,True,272.3,460.8,191.3,191.3,269.5,no,dribble,269.5,0.5,325.6,11.965,6.5
988,True,score=8.5,3,78.7,True,366.3,445.0,78.7,78.7,366.3,no,inbound,366.3,0.0,490.8,5.003,8.5
1073,False,score=4.0,5,215.1,True,363.1,578.2,260.4,215.1,317.9,no,ft_setup,49.3,0.0,1247.3,2.467,4.0
1292,True,score=6.0,17,126.2,True,354.8,481.0,128.1,126.2,352.8,no,ft_lineup,85.0,0.0,1752.1,3.578,6.0
1366,False,no_convergence,5,126.9,True,512.9,126.9,544.8,126.9,-417.9,?,?,,,,,
1421,False,no_convergence,11,159.6,True,193.1,228.5,253.2,159.6,-24.7,?,?,,,,,
1459,False,score=4.5,6,131.8,True,218.4,252.0,131.8,131.8,120.2,?,?,7.2,0.2,420.2,2.817,4.5
1547,False,score=3.0,7,228.3,True,385.3,613.7,517.3,228.3,96.3,?,?,-110.2,0.167,795.8,7.247,3.0
1618,False,no_convergence,15,95.4,True,361.1,95.4,325.0,95.4,-229.6,?,?,,,,,
1671,False,no_convergence,11,230.5,True,269.0,326.8,446.9,230.5,-120.2,?,?,,,,,
1712,False,score=3.5,4,223.1,True,554.1,332.6,223.1,223.1,109.5,?,?,-169.5,0.333,1055.2,6.587,3.5
1764,True,score=7.5,10,117.9,True,887.0,670.9,134.5,117.9,536.4,no,wrong_half,453.1,0.222,1890.2,3.828,7.5
1874,False,flat_profile,2,287.7,True,2.3,,,,,?,?,,,,,
1988,False,flat_profile,2,181.9,True,58.5,,,,,?,?,,,,,
2064,False,no_convergence,25,152.0,True,459.9,228.5,356.7,152.0,-128.2,?,?,,,,,
2184,False,no_convergence,31,94.3,True,453.8,353.7,477.6,94.3,-123.9,?,?,,,,,
2303,True,score=6.5,4,159.4,True,649.0,808.4,159.4,159.4,649.0,weak,perimeter,471.8,0.0,658.0,4.471,6.5
2371,False,score=4.0,5,194.0,True,323.4,517.4,453.8,194.0,63.6,?,?,12.2,0.0,908.5,3.257,4.0
2441,False,no_convergence,23,65.4,True,287.9,353.4,351.1,65.4,2.3,?,?,,,,,
2505,False,flat_profile,2,253.7,True,6.5,,,,,?,?,,,,,
2566,False,no_convergence,14,280.3,True,201.0,415.2,478.7,280.3,-63.5,?,?,,,,,
2631,False,no_convergence,7,177.9,True,365.3,247.9,543.2,177.9,-295.4,?,?,,,,,
2701,True,score=5.5,2,279.9,True,213.0,492.9,279.9,279.9,213.0,?,?,213.0,0.0,224.3,337.505,5.5
