frame,x1,y1,x2,y2,conf
0,613.96,275.48,626.35,298.33,0.524
1,613.96,275.48,626.35,298.33,0.524
2,613.96,275.48,626.35,298.33,0.524
3,613.96,275.48,626.35,298.33,0.524
4,613.96,275.48,626.35,298.33,0.524
5,613.96,275.48,626.35,298.33,0.524
6,613.96,275.48,626.35,298.33,0.524
7,613.96,275.48,626.35,298.33,0.524
8,613.96,275.48,626.35,298.33,0.524
9,613.96,275.48,626.35,298.33,0.524
10,613.96,275.48,626.35,298.33,0.524
11,613.96,275.48,626.35,298.33,0.524
12,613.96,275.48,626.35,298.33,0.524
13,613.96,275.48,626.35,298.33,0.524
14,613.96,275.48,626.35,298.33,0.524
15,613.96,275.48,626.35,298.33,0.524
16,613.96,275.48,626.35,298.33,0.524
17,613.96,275.48,626.35,298.33,0.524
18,613.96,275.48,626.35,298.33,0.524
19,613.96,275.48,626.35,298.33,0.524
20,613.96,275.48,626.35,298.33,0.524
21,613.96,275.48,626.35,298.33,0.524
22,613.96,275.48,626.35,298.33,0.524
23,613.96,275.48,626.35,298.33,0.524
24,613.96,275.48,626.35,298.33,0.524
25,630.67,275.25,643.17,298.2,0.535
26,647.37,275.02,659.99,298.07,0.546
27,664.08,274.79,676.81,297.94,0.558
28,680.79,274.56,693.63,297.8,0.569
29,697.5,274.33,710.45,297.67,0.58
30,714.2,274.1,727.27,297.54,0.591
31,730.91,273.87,744.09,297.41,0.602
32,747.62,273.64,760.91,297.28,0.613
33,764.33,273.41,777.73,297.15,0.624
34,781.03,273.18,794.55,297.02,0.635
35,797.74,272.95,811.36,296.89,0.646
36,814.45,272.72,828.18,296.76,0.657
37,831.16,272.5,845.0,296.63,0.668
38,847.86,272.27,861.82,296.5,0.679
39,830.84,276.74,844.53,301.15,0.675
40,813.82,281.21,827.25,305.81,0.67
41,796.8,285.68,809.96,310.47,0.666
42,779.78,290.16,792.67,315.13,0.661
43,762.76,294.63,775.38,319.79,0.657
44,745.74,299.1,758.1,324.45,0.652
45,728.72,303.57,740.81,329.1,0.648
46,711.7,308.04,723.52,333.76,0.643
47,694.68,312.52,706.23,338.42,0.639
48,677.65,316.99,688.95,343.08,0.634
49,674.25,307.06,685.76,332.31,0.626
50,670.84,297.13,682.58,321.54,0.619
