frame,x1,y1,x2,y2,conf
0,613.96,275.48,626.35,298.33,0.524
1,613.96,275.48,626.35,298.33,0.524
2,613.96,275.48,626.35,298.33,0.524
3,613.96,275.48,626.35,298.33,0.524
4,613.96,275.48,626.35,298.33,0.524
5,613.96,275.48,626.35,298.33,0.524
6,613.96,275.48,626.35,298.33,0.524
7,613.96,275.48,626.35,298.33,0.524
8,613.96,275.48,626.35,298.33,0.524
9,613.96,275.48,626.35,298.33,0.524
10,613.96,275.48,626.35,298.33,0.524
11,613.96,275.48,626.35,298.33,0.524
12,613.96,275.48,626.35,298.33,0.524
13,613.96,275.48,626.35,298.33,0.524
14,613.96,275.48,626.35,298.33,0.524
15,613.96,275.48,626.35,298.33,0.524
16,613.96,275.48,626.35,298.33,0.524
17,613.96,275.48,626.35,298.33,0.524
18,613.96,275.48,626.35,298.33,0.524
19,613.96,275.48,626.35,298.33,0.524
20,613.96,275.48,626.35,298.33,0.524
21,613.96,275.48,626.35,298.33,0.524
22,613.96,275.48,626.35,298.33,0.524
23,613.96,275.48,626.35,298.33,0.524
24,613.96,275.48,626.35,298.33,0.524
25,609.98,206.39,622.47,225.93,0.587
26,602.34,257.61,615.14,278.18,0.594
27,594.69,308.82,607.81,330.44,0.601
28,587.04,360.04,600.48,382.69,0.608
29,579.39,411.25,593.15,434.94,0.615
30,571.74,462.47,585.81,487.2,0.622
31,564.09,513.68,578.48,539.45,0.629
32,556.44,564.9,571.15,591.7,0.636
33,605.01,516.13,619.6,542.5,0.643
34,653.58,467.35,668.04,493.3,0.651
35,702.15,418.58,716.49,444.1,0.658
36,750.72,369.81,764.93,394.9,0.665
37,799.29,321.04,813.38,345.7,0.672
38,847.86,272.27,861.82,296.5,0.679
39,830.84,276.74,844.53,301.15,0.675
40,813.82,281.21,827.25,305.81,0.67
41,796.8,285.68,809.96,310.47,0.666
42,779.78,290.16,792.67,315.13,0.661
43,762.76,294.63,775.38,319.79,0.657
44,745.74,299.1,758.1,324.45,0.652
45,728.72,303.57,740.81,329.1,0.648
46,711.7,308.04,723.52,333.76,0.643
47,694.68,312.52,706.23,338.42,0.639
48,677.65,316.99,688.95,343.08,0.634
49,658.97,296.03,674.32,321.35,0.644
50,640.28,275.08,659.69,299.62,0.654
