frame,timestamp_ms,left_ankle_x,left_ankle_y,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_visibility,left_wrist_x,left_wrist_y,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_visibility,signal
0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
2,530.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
4,1061.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
6,1594.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4687619209289551,0.48741835355758667,0.99720698595047,0.4856168329715729,0.5529118180274963,0.9937533736228943,0
8,2125.0,,,0.0,,,0.0,,,0.0,,,0.0,0.48281508684158325,0.484262079000473,0.9974684715270996,0.48943328857421875,0.5461850762367249,0.9943373799324036,0
10,2655.0000000000005,,,0.0,,,0.0,,,0.0,,,0.0,0.47596222162246704,0.4903438091278076,0.997384250164032,0.47953981161117554,0.5340918302536011,0.9941892027854919,0
12,3189.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
14,3722.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
16,4255.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
18,4788.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
20,5312.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4676063060760498,0.48450663685798645,0.9976212382316589,0.4662765860557556,0.49530279636383057,0.9947079420089722,0
22,5849.0,,,0.0,,,0.0,,,0.0,,,0.0,0.46873387694358826,0.46769875288009644,0.9975341558456421,0.4703163206577301,0.483925998210907,0.9943134188652039,0
24,6387.0,,,0.0,,,0.0,,,0.0,,,0.0,0.46146664023399353,0.4761349558830261,0.9976896047592163,0.459303617477417,0.4822571277618408,0.9946605563163757,0
26,6905.0,,,0.0,,,0.0,,,0.0,,,0.0,0.45802241563796997,0.49904459714889526,0.9977875351905823,0.45151758193969727,0.4898362159729004,0.994661271572113,0
28,7438.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4535385072231293,0.4907209277153015,0.9978392124176025,0.4697081446647644,0.4784436523914337,0.9949827790260315,0
30,7972.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4519602656364441,0.5112566947937012,0.997860848903656,0.4686540961265564,0.47461798787117004,0.995396077632904,0
32,8505.0,,,0.0,,,0.0,,,0.0,,,0.0,0.44419965147972107,0.4939609169960022,0.9975743293762207,0.45553427934646606,0.4869544506072998,0.9954684972763062,0
34,9030.0,,,0.0,,,0.0,,,0.0,,,0.0,0.44415539503097534,0.5400288105010986,0.9978142380714417,0.4361666738986969,0.49859529733657837,0.9959151148796082,0
36,9563.0,,,0.0,,,0.0,,,0.0,,,0.0,0.38879674673080444,0.4981154501438141,0.9979956150054932,0.38730552792549133,0.498055100440979,0.9961654543876648,0
38,10095.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
40,10629.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
42,11155.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
44,11689.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
46,12218.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
