frame,timestamp_ms,left_ankle_x,left_ankle_y,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_visibility,left_wrist_x,left_wrist_y,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_visibility,signal
0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
4,1061.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
8,2125.0,,,0.0,0.5105175971984863,0.5727842450141907,0.5509384274482727,,,0.0,,,0.0,0.46695953607559204,0.4942414462566376,0.9966778755187988,0.46811923384666443,0.47029244899749756,0.9978392720222473,0
12,3189.0,,,0.0,0.5147979855537415,0.6153870820999146,0.5672659873962402,,,0.0,,,0.0,0.46717387437820435,0.5035433173179626,0.996533989906311,0.46720877289772034,0.4778880178928375,0.9976877570152283,0
16,4255.0,,,0.0,0.5128393769264221,0.631248950958252,0.6088215112686157,,,0.0,,,0.0,0.4580349922180176,0.5066972374916077,0.9964420199394226,0.4679259657859802,0.48791396617889404,0.9976202249526978,0
20,5312.0,,,0.0,0.48404330015182495,0.6668201684951782,0.6304188966751099,,,0.0,,,0.0,0.4626210629940033,0.5068495273590088,0.996556282043457,0.4683101177215576,0.5031702518463135,0.9974907636642456,0
24,6387.0,,,0.0,0.5141456127166748,0.6264466047286987,0.6271041035652161,,,0.0,,,0.0,0.4605492949485779,0.4998975396156311,0.996630072593689,0.4677217900753021,0.5000787973403931,0.9973970651626587,0
28,7438.0,,,0.0,0.5123757123947144,0.6272726655006409,0.6559861898422241,,,0.0,,,0.0,0.45823630690574646,0.49800509214401245,0.9967636466026306,0.47366833686828613,0.48229560256004333,0.9975578784942627,0
32,8505.0,,,0.0,0.4646284580230713,0.6521105170249939,0.6900668740272522,,,0.0,,,0.0,0.4462742805480957,0.5081120133399963,0.9967960715293884,0.45871061086654663,0.4799198508262634,0.9977272152900696,0
36,9563.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
40,10629.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
44,11689.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
48,12754.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
52,13821.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
56,14879.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
60,15938.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
64,17004.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
68,18072.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
72,19127.0,,,0.0,0.13392029702663422,0.9360799789428711,0.679978609085083,,,0.0,,,0.0,0.09860411286354065,0.756283164024353,0.997115433216095,0.13640424609184265,0.7359474897384644,0.9979531168937683,0
76,20190.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
80,21250.0,,,0.0,0.6829885840415955,0.6952593922615051,0.7081363201141357,,,0.0,,,0.0,0.7840457558631897,0.4949064552783966,0.9974024891853333,0.75322425365448,0.46059298515319824,0.9981548190116882,0
84,22317.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
88,23388.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
92,24438.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
96,25503.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
100,26569.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
104,27638.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
108,28688.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0
112,29752.0,,,0.0,0.6430448889732361,0.6175699234008789,0.6448824405670166,,,0.0,,,0.0,0.6384956240653992,0.7887048721313477,0.9975451827049255,0.6503760814666748,0.7878895401954651,0.9981104135513306,0
