frame_id,current_manifest_label,source_of_label
frame_003,unreviewed,
frame_004,unreviewed,
frame_005,ball,Scott_2026-06-09
frame_006,ball,Scott_2026-06-09
frame_007,unreviewed,
frame_008,unreviewed,
frame_009,ball,Scott_2026-06-09
frame_010,unreviewed,
frame_011,unreviewed,
frame_012,ball,Scott_2026-06-09
frame_013,ball,Scott_2026-06-09
frame_014,not_ball,Scott_2026-06-09
frame_015,unreviewed,
frame_016,unreviewed,
frame_017,ball,Scott_2026-06-09
frame_018,unreviewed,
frame_019,unreviewed,
frame_020,not_ball,Scott_2026-06-09
frame_021,ball,Scott_2026-06-09
frame_022,ball,Scott_2026-06-09
frame_023,unreviewed,
frame_024,unreviewed,
frame_025,ball,Scott_2026-06-09
frame_026,unreviewed,
frame_027,ball,Scott_2026-06-09
frame_028,ball,Scott_2026-06-09
frame_029,unreviewed,
frame_030,unreviewed,
frame_031,ball,Scott_2026-06-09
frame_032,not_ball,Scott_2026-06-09
frame_033,unreviewed,
frame_034,ball,Scott_2026-06-09
frame_035,not_ball,Scott_2026-06-09
frame_036,ball,Scott_2026-06-09
frame_037,ball,Scott_2026-06-09
frame_038,ball,Scott_2026-06-09
frame_039,ball,Scott_2026-06-09
frame_040,ball,Scott_2026-06-09
frame_041,ball,Scott_2026-06-09
frame_042,ball,Scott_2026-06-09
frame_043,ball,Scott_2026-06-09
frame_044,ball,Scott_2026-06-09
frame_045,ball,Scott_2026-06-09
frame_046,unreviewed,
frame_047,unreviewed,
frame_048,unreviewed,
frame_049,unreviewed,
frame_050,unreviewed,
frame_051,ball,Scott_2026-06-09
frame_052,ball,Scott_2026-06-09
frame_053,unreviewed,
frame_054,ball,Scott_2026-06-09
frame_055,ball,Scott_2026-06-09
frame_056,unreviewed,
frame_057,unreviewed,
frame_058,unreviewed,
frame_059,unreviewed,
frame_060,unreviewed,
frame_061,unreviewed,
frame_062,unreviewed,
frame_063,unreviewed,
frame_064,unreviewed,
frame_065,unreviewed,
frame_066,ball,Scott_2026-06-09
frame_067,ball,Scott_2026-06-09
frame_068,ball,Scott_2026-06-09
frame_069,ball,Scott_2026-06-09
frame_070,ball,Scott_2026-06-09
frame_071,not_ball,Scott_2026-06-09
frame_072,ball,Scott_2026-06-09
frame_073,ball,Scott_2026-06-09
frame_074,ball,Scott_2026-06-09
frame_075,ball,Scott_2026-06-09
frame_076,ball,Scott_2026-06-09
frame_077,ball,Scott_2026-06-09
frame_078,unreviewed,
frame_079,not_ball,Scott_2026-06-09
frame_080,unreviewed,
frame_081,ball,Scott_2026-06-09
frame_082,ball,Scott_2026-06-09
frame_083,ball,Scott_2026-06-09
frame_084,ball,Scott_2026-06-09
frame_085,ball,Scott_2026-06-09
frame_086,ball,Scott_2026-06-09
frame_087,unreviewed,
frame_088,unreviewed,
frame_089,unreviewed,
frame_090,ball,Scott_2026-06-09
frame_091,unreviewed,
frame_092,ball,Scott_2026-06-09
frame_093,unreviewed,
frame_094,unreviewed,
frame_095,ball,Scott_2026-06-09
frame_096,ball,Scott_2026-06-09
frame_097,ball,Scott_2026-06-09
frame_098,ball,Scott_2026-06-09
frame_099,ball,Scott_2026-06-09
frame_100,not_ball,Scott_2026-06-09
frame_101,ball,Scott_2026-06-09
frame_102,unreviewed,
frame_103,unreviewed,
frame_104,unreviewed,
frame_105,ball,Scott_2026-06-09
frame_106,unreviewed,
frame_107,ball,Scott_2026-06-09
frame_108,ball,Scott_2026-06-09
frame_109,ball,Scott_2026-06-09
frame_110,unreviewed,
