frame,xc,yc,w,h,conf
1,977,681,21,17,1.0
1,1006,651,15,12,1.0
1,1006,651,16,12,1.0
1,897,700,25,24,1.0
1,956,673,25,23,1.0
1,1006,651,16,12,1.0
1,958,671,19,22,1.0
1,1006,651,16,12,1.0
2,969,654,13,13,1.0
2,1047,647,21,18,1.0
2,1092,303,45,36,1.0
2,1042,274,28,23,1.0
2,995,272,43,31,1.0
2,695,198,9,14,1.0
2,969,654,13,13,1.0
2,971,292,11,9,1.0
2,1042,274,28,23,1.0
2,995,271,43,31,1.0
2,759,201,15,11,1.0
2,695,198,12,13,1.0
2,969,654,13,13,1.0
2,970,292,11,9,1.0
2,1042,274,29,21,1.0
2,902,254,8,11,1.0
2,760,202,15,13,1.0
2,695,198,12,13,1.0
2,969,654,13,13,1.0
2,971,292,11,9,1.0
2,1041,274,28,21,1.0
2,759,201,15,11,1.0
2,695,198,12,13,1.0
3,48,411,12,13,1.0
3,480,360,28,20,1.0
3,300,330,11,11,1.0
3,515,311,12,10,1.0
3,505,269,13,14,1.0
3,48,411,12,13,1.0
3,480,360,28,20,1.0
3,515,311,12,10,1.0
3,505,269,13,14,1.0
3,480,360,28,20,1.0
3,515,311,12,10,1.0
3,505,269,13,14,1.0
3,48,411,12,13,1.0
3,480,360,28,20,1.0
3,407,321,11,9,1.0
3,515,311,12,10,1.0
3,505,269,13,14,1.0
4,845,549,9,13,1.0
4,902,512,15,14,1.0
4,1142,373,26,20,1.0
4,971,271,10,10,1.0
4,874,552,10,10,1.0
4,902,512,15,14,1.0
4,1142,373,26,19,1.0
4,1103,369,15,11,1.0
4,971,271,10,10,1.0
4,846,577,28,26,1.0
4,874,552,10,10,1.0
4,902,512,15,14,1.0
4,1142,373,26,19,1.0
4,1103,369,15,11,1.0
4,971,271,10,10,1.0
4,874,552,10,10,1.0
4,902,512,15,14,1.0
4,1142,373,26,19,1.0
4,1103,369,15,11,1.0
4,971,271,10,10,1.0
5,1168,533,12,16,1.0
5,1096,520,15,14,1.0
5,1137,504,16,15,1.0
5,1114,473,30,33,1.0
5,1018,450,11,8,1.0
5,1046,384,34,33,1.0
5,662,286,13,14,1.0
5,828,144,11,14,1.0
5,1169,533,13,16,1.0
5,1096,520,15,14,1.0
5,1136,504,18,15,1.0
5,1115,473,31,33,1.0
5,662,286,13,14,1.0
5,828,144,10,13,1.0
