peak_frame,peak_cy,start_frame,end_frame,depth,span,shot_type,make
38,219.2,32,68,144.0,18,2PT,False
70,200.0,64,100,189.0,18,2PT,False
124,250.2,92,130,139.0,19,2PT,False
132,209.6,92,146,180.0,27,2PT,False
180,218.6,174,194,86.0,10,2PT,False
242,123.0,230,258,198.0,14,3PT,False
262,120.2,252,282,201.0,15,3PT,False
330,131.2,322,346,165.0,12,3PT,False
388,229.9,368,430,138.0,31,2PT,False
434,272.0,426,452,96.0,13,2PT,False
500,144.6,486,510,133.0,12,3PT,False
536,145.3,526,550,246.0,12,3PT,False
572,147.4,560,582,193.0,11,3PT,False
610,202.1,604,624,105.0,10,2PT,False
650,132.2,620,688,222.0,34,3PT,False
690,146.5,682,706,207.0,12,3PT,False
766,174.9,742,804,169.0,31,2PT,False
834,191.5,792,856,120.0,32,2PT,False
878,168.0,864,924,212.0,30,3PT,False
954,245.2,946,982,134.0,18,2PT,False
1010,159.3,976,1032,189.0,28,3PT,False
1034,246.2,1028,1072,134.0,22,2PT,False
1112,268.5,1102,1122,222.0,10,2PT,False
1130,247.4,1102,1140,243.0,19,2PT,False
1184,225.1,1172,1198,127.0,13,2PT,False
1284,282.5,1264,1292,118.0,14,2PT,False
1324,146.5,1312,1350,213.0,19,3PT,False
1354,153.2,1346,1374,286.0,14,3PT,False
1400,130.0,1392,1430,235.0,19,3PT,False
1432,148.1,1426,1456,217.0,15,3PT,False
1464,146.3,1452,1510,235.0,29,3PT,False
1526,146.1,1492,1550,235.0,29,3PT,False
1558,210.5,1546,1592,84.0,23,2PT,False
1610,129.8,1584,1650,195.0,33,3PT,False
1652,179.4,1640,1672,145.0,16,2PT,False
1690,134.7,1682,1706,199.0,12,3PT,False
1736,202.3,1718,1756,201.0,19,2PT,False
1774,206.0,1764,1806,166.0,21,2PT,False
1816,231.6,1796,1838,92.0,21,2PT,False
1866,211.5,1830,1882,113.0,26,2PT,False
1904,105.9,1872,1922,171.0,25,3PT,False
1960,103.7,1916,1994,235.0,39,3PT,False
1996,177.0,1984,2028,161.0,22,2PT,False
2040,71.4,2024,2070,293.0,23,3PT,False
2100,143.6,2092,2138,367.0,23,3PT,False
2154,320.5,2134,2200,191.0,32,2PT,False
2250,166.6,2216,2268,207.0,26,3PT,False
2272,166.8,2264,2300,180.0,18,3PT,False
2318,169.1,2296,2352,178.0,28,2PT,False
2374,143.8,2366,2404,196.0,19,3PT,False
2406,232.8,2398,2438,109.0,20,2PT,False
2468,144.6,2434,2530,341.0,48,3PT,False
2556,149.0,2522,2570,337.0,24,3PT,False
2610,251.5,2604,2632,83.0,14,2PT,False
2636,150.7,2628,2684,207.0,28,3PT,False
2686,244.4,2666,2702,114.0,18,2PT,False
