frame,side,score,wrist_y,elbow_angle,wrist_speed,ball_near,ball_away,player_x,player_y
32,right,0.75,0.473,153.0,0.084,False,True,0.409,0.557
68,right,0.75,0.585,147.0,0.058,False,True,0.523,0.6
246,right,0.75,0.488,152.0,0.053,False,True,0.349,0.453
270,left,0.75,0.868,171.0,0.208,False,True,0.487,0.861
418,left,0.75,0.362,176.0,0.463,False,True,0.665,0.619
484,right,0.75,0.488,176.0,0.101,False,True,0.608,0.521
532,right,0.75,0.73,144.0,0.207,False,True,0.222,0.753
608,right,0.5,0.591,147.0,0.192,False,True,0.618,0.449
650,left,0.5,0.65,177.0,0.297,False,True,0.341,0.436
688,left,0.55,0.441,20.0,0.101,False,True,0.399,0.557
708,right,0.75,0.869,168.0,0.048,False,True,0.252,0.88
752,right,0.75,0.364,158.0,0.323,False,True,0.5,0.556
852,left,0.55,0.484,14.0,0.152,False,True,0.396,0.477
900,left,0.55,0.466,80.0,0.128,False,True,0.523,0.559
946,left,0.75,0.463,145.0,0.133,False,True,0.409,0.495
992,left,0.75,0.734,167.0,0.176,False,True,0.642,0.711
1056,left,0.5,0.769,167.0,0.098,False,True,0.214,0.808
1090,left,0.75,0.605,179.0,0.174,False,True,0.556,0.623
1138,right,0.75,0.632,169.0,0.023,True,True,0.645,0.662
1168,right,0.5,0.538,163.0,0.019,False,True,0.547,0.56
1208,left,0.5,0.499,80.0,0.04,True,False,0.548,0.552
1264,right,0.5,0.515,160.0,0.05,False,True,0.42,0.537
1296,right,0.75,0.599,159.0,0.06,False,True,0.403,0.622
1336,right,0.75,0.923,142.0,0.059,False,True,1.005,0.737
1394,left,0.75,0.775,152.0,0.074,False,True,0.717,0.816
1466,right,0.75,0.7,171.0,0.171,False,True,0.859,0.68
1538,left,0.75,0.765,173.0,0.075,False,True,0.762,0.692
1610,left,0.75,0.615,171.0,0.03,False,True,0.367,0.593
1658,left,0.75,0.556,169.0,0.066,False,True,0.591,0.621
1716,left,0.75,0.501,158.0,0.077,False,True,0.595,0.574
1782,left,0.75,0.64,166.0,0.033,False,True,0.722,0.664
1826,right,0.75,0.553,163.0,0.117,False,True,0.334,0.591
1866,right,0.75,0.641,177.0,0.034,False,True,0.469,0.651
1920,left,0.55,0.215,122.0,0.048,False,True,0.287,0.327
1948,right,0.5,0.271,161.0,0.02,False,True,0.247,0.3
1986,left,0.75,0.494,169.0,0.128,False,True,0.583,0.549
2028,right,0.75,0.683,167.0,0.058,False,True,0.483,0.665
2126,left,0.75,0.526,177.0,0.113,False,True,0.582,0.491
2210,left,0.75,0.65,179.0,0.157,False,True,0.187,0.635
2330,right,0.5,0.546,174.0,0.057,False,True,0.702,0.613
2350,right,0.7,0.356,156.0,0.059,True,False,0.442,0.399
2392,left,0.75,0.857,172.0,0.079,False,True,0.46,0.846
2456,left,0.5,0.871,171.0,0.001,False,True,0.881,0.678
2502,left,0.75,0.555,145.0,0.039,False,True,0.329,0.606
2522,left,0.55,0.456,110.0,0.052,False,True,0.392,0.58
2596,left,0.75,0.84,166.0,0.179,False,True,0.722,0.838
2642,left,0.75,0.561,142.0,0.052,False,True,0.297,0.517
2684,left,0.75,0.441,142.0,0.141,False,True,0.43,0.466
