frame,ball_score,net_motion,in_hoop,dist_from_hoop,diam,hoop_x,hoop_y
42,0.522975378970209,0.4306,False,22.6,21.95469856262207,1046,306
76,0.738549109376571,0.4667,True,8.4,12.041794776916504,252,318
158,0.22374807569552035,0.3028,False,64.4,8.944472312927246,988,486
314,0.21529622279842975,0.4361,False,60.7,8.60252571105957,330,260
648,0.33599381975972487,0.7542,False,49.9,11.42225456237793,623,274
690,0.4462652302972596,0.0236,False,30.0,13.038604736328125,184,539
736,0.5212642158801474,0.1903,True,10.3,7.280309677124023,638,243
926,0.34215154821763305,0.0681,False,67.7,10.295830726623535,559,368
976,0.2222928978500277,0.4556,False,53.8,7.615972995758057,1081,232
1018,0.3347321844679906,0.5694,False,52.5,12.083246231079102,1003,343
1086,0.37413832204565733,0.6722,False,58.1,10.88341999053955,1003,267
1126,0.35152213457226844,0.0542,False,66.0,15.556549072265625,1135,540
1324,0.26498088579930534,0.5597,False,55.4,28.63584327697754,924,377
1918,0.2267000006913302,0.4528,False,37.0,6.403324127197266,1050,268
2088,0.1614044275716353,0.1264,False,56.4,13.153146743774414,878,280
2266,0.2826557334554742,0.3792,False,29.6,5.385364532470703,674,359
2346,0.37500085794628857,0.7028,False,28.6,8.062458038330078,927,371
2562,0.46650141328826217,0.475,False,19.9,5.831151485443115,625,276
2598,0.2475437579583093,0.2486,False,37.2,10.440506935119629,607,275
2650,0.32607030242077945,0.4222,False,51.0,14.821026802062988,1004,251
