crop_id,confidence,source_frame,x1,y1,x2,y2,human_label
crop_000,0.6398,17,,,,,not_ball
crop_001,0.6389,17,,,,,not_ball
crop_002,0.5985,17,,,,,not_ball
crop_003,0.5788,17,,,,,not_ball
crop_004,0.5715,17,,,,,not_ball
crop_005,0.5565,17,,,,,not_ball
crop_006,0.5181,17,,,,,not_ball
crop_007,0.4097,17,,,,,not_ball
crop_008,0.3926,17,,,,,not_ball
crop_009,0.3338,17,,,,,not_ball
crop_010,0.3122,17,,,,,not_ball
crop_011,0.2826,17,,,,,not_ball
crop_012,0.2693,17,,,,,not_ball
crop_013,0.7823,18,,,,,not_ball
crop_014,0.6854,18,,,,,not_ball
crop_015,0.6193,18,,,,,not_ball
crop_016,0.5910,18,,,,,not_ball
crop_017,0.5900,18,,,,,not_ball
crop_018,0.4978,18,,,,,not_ball
crop_019,0.4912,18,,,,,not_ball
crop_020,0.4587,18,,,,,not_ball
crop_021,0.4509,18,,,,,not_ball
crop_022,0.4464,18,,,,,not_ball
crop_023,0.4072,18,,,,,not_ball
crop_024,0.2986,18,,,,,not_ball
crop_025,0.2546,18,,,,,not_ball
crop_026,0.2533,18,,,,,not_ball
crop_027,0.8038,19,,,,,not_ball
crop_028,0.7416,19,,,,,not_ball
crop_029,0.7160,19,,,,,not_ball
crop_030,0.5327,19,,,,,not_ball
crop_031,0.5183,19,,,,,not_ball
crop_032,0.5083,19,,,,,not_ball
crop_033,0.3723,19,,,,,not_ball
crop_034,0.3689,19,,,,,not_ball
crop_035,0.3582,19,,,,,not_ball
crop_036,0.3139,19,,,,,not_ball
crop_037,0.2644,19,,,,,not_ball
crop_038,0.7892,20,,,,,not_ball
crop_039,0.6804,20,,,,,not_ball
crop_040,0.5723,20,,,,,not_ball
crop_041,0.4813,20,,,,,not_ball
crop_042,0.4057,20,,,,,not_ball
crop_043,0.3660,20,,,,,not_ball
crop_044,0.3658,20,,,,,not_ball
crop_045,0.3582,20,,,,,not_ball
crop_046,0.3383,20,,,,,not_ball
crop_047,0.3340,20,,,,,not_ball
crop_048,0.3273,20,,,,,not_ball
crop_049,0.2998,20,,,,,not_ball
crop_050,0.2916,20,,,,,not_ball
crop_051,0.2871,20,,,,,not_ball
crop_052,0.2741,20,,,,,not_ball
crop_053,0.2633,20,,,,,not_ball
crop_054,0.2587,20,,,,,not_ball
crop_055,0.7413,21,,,,,not_ball
crop_056,0.7294,21,,,,,not_ball
crop_057,0.6387,21,,,,,not_ball
crop_058,0.5619,21,,,,,not_ball
crop_059,0.5553,21,,,,,not_ball
crop_060,0.5480,21,,,,,not_ball
crop_061,0.5350,21,,,,,not_ball
crop_062,0.5028,21,,,,,not_ball
crop_063,0.4904,21,,,,,not_ball
crop_064,0.4158,21,,,,,not_ball
crop_065,0.3821,21,,,,,not_ball
crop_066,0.3646,21,,,,,not_ball
crop_067,0.3598,21,,,,,not_ball
crop_068,0.2698,21,,,,,not_ball
crop_069,0.2639,21,,,,,not_ball
crop_070,0.2623,21,,,,,not_ball
crop_071,0.2586,21,,,,,not_ball
crop_072,0.2567,21,,,,,not_ball
crop_073,0.7892,22,,,,,not_ball
crop_074,0.7422,22,,,,,not_ball
crop_075,0.5733,22,,,,,not_ball
crop_076,0.4868,22,,,,,not_ball
crop_077,0.4423,22,,,,,not_ball
crop_078,0.4407,22,,,,,not_ball
crop_079,0.3875,22,,,,,not_ball
crop_080,0.3562,22,,,,,not_ball
crop_081,0.3203,22,,,,,not_ball
crop_082,0.2779,22,,,,,not_ball
