crop_id,confidence,source_frame,x1,y1,x2,y2,human_label
crop_000,0.6398,17,,,,,
crop_001,0.6389,17,,,,,
crop_002,0.5985,17,,,,,
crop_003,0.5788,17,,,,,
crop_004,0.5715,17,,,,,
crop_005,0.5565,17,,,,,
crop_006,0.5181,17,,,,,
crop_007,0.4097,17,,,,,
crop_008,0.3926,17,,,,,
crop_009,0.3338,17,,,,,
crop_010,0.3122,17,,,,,
crop_011,0.2826,17,,,,,
crop_012,0.2693,17,,,,,
crop_013,0.7823,18,,,,,
crop_014,0.6854,18,,,,,
crop_015,0.6193,18,,,,,
crop_016,0.5910,18,,,,,
crop_017,0.5900,18,,,,,
crop_018,0.4978,18,,,,,
crop_019,0.4912,18,,,,,
crop_020,0.4587,18,,,,,
crop_021,0.4509,18,,,,,
crop_022,0.4464,18,,,,,
crop_023,0.4072,18,,,,,
crop_024,0.2986,18,,,,,
crop_025,0.2546,18,,,,,
crop_026,0.2533,18,,,,,
crop_027,0.8038,19,,,,,
crop_028,0.7416,19,,,,,
crop_029,0.7160,19,,,,,
crop_030,0.5327,19,,,,,
crop_031,0.5183,19,,,,,
crop_032,0.5083,19,,,,,
crop_033,0.3723,19,,,,,
crop_034,0.3689,19,,,,,
crop_035,0.3582,19,,,,,
crop_036,0.3139,19,,,,,
crop_037,0.2644,19,,,,,
crop_038,0.7892,20,,,,,
crop_039,0.6804,20,,,,,
crop_040,0.5723,20,,,,,
crop_041,0.4813,20,,,,,
crop_042,0.4057,20,,,,,
crop_043,0.3660,20,,,,,
crop_044,0.3658,20,,,,,
crop_045,0.3582,20,,,,,
crop_046,0.3383,20,,,,,
crop_047,0.3340,20,,,,,
crop_048,0.3273,20,,,,,
crop_049,0.2998,20,,,,,
crop_050,0.2916,20,,,,,
crop_051,0.2871,20,,,,,
crop_052,0.2741,20,,,,,
crop_053,0.2633,20,,,,,
crop_054,0.2587,20,,,,,
crop_055,0.7413,21,,,,,
crop_056,0.7294,21,,,,,
crop_057,0.6387,21,,,,,
crop_058,0.5619,21,,,,,
crop_059,0.5553,21,,,,,
crop_060,0.5480,21,,,,,
crop_061,0.5350,21,,,,,
crop_062,0.5028,21,,,,,
crop_063,0.4904,21,,,,,
crop_064,0.4158,21,,,,,
crop_065,0.3821,21,,,,,
crop_066,0.3646,21,,,,,
crop_067,0.3598,21,,,,,
crop_068,0.2698,21,,,,,
crop_069,0.2639,21,,,,,
crop_070,0.2623,21,,,,,
crop_071,0.2586,21,,,,,
crop_072,0.2567,21,,,,,
crop_073,0.7892,22,,,,,
crop_074,0.7422,22,,,,,
crop_075,0.5733,22,,,,,
crop_076,0.4868,22,,,,,
crop_077,0.4423,22,,,,,
crop_078,0.4407,22,,,,,
crop_079,0.3875,22,,,,,
crop_080,0.3562,22,,,,,
crop_081,0.3203,22,,,,,
crop_082,0.2779,22,,,,,
crop_083,0.7689,23,,,,,
crop_084,0.7380,23,,,,,
crop_085,0.6832,23,,,,,
crop_086,0.6782,23,,,,,
crop_087,0.5745,23,,,,,
crop_088,0.5486,23,,,,,
crop_089,0.5483,23,,,,,
crop_090,0.5306,23,,,,,
crop_091,0.4728,23,,,,,
crop_092,0.4523,23,,,,,
crop_093,0.4468,23,,,,,
crop_094,0.4108,23,,,,,
crop_095,0.3847,23,,,,,
crop_096,0.3651,23,,,,,
crop_097,0.3398,23,,,,,
crop_098,0.2780,23,,,,,
crop_099,0.6877,24,,,,,
crop_100,0.6832,24,,,,,
crop_101,0.6685,24,,,,,
crop_102,0.6666,24,,,,,
crop_103,0.5830,24,,,,,
crop_104,0.4193,24,,,,,
crop_105,0.3953,24,,,,,
crop_106,0.3414,24,,,,,
crop_107,0.3132,24,,,,,
crop_108,0.3061,24,,,,,
crop_109,0.2592,24,,,,,
crop_110,0.2576,24,,,,,
crop_111,0.7427,25,,,,,
crop_112,0.6353,25,,,,,
crop_113,0.6234,25,,,,,
crop_114,0.6066,25,,,,,
crop_115,0.5757,25,,,,,
crop_116,0.5606,25,,,,,
crop_117,0.5575,25,,,,,
crop_118,0.5128,25,,,,,
crop_119,0.4824,25,,,,,
crop_120,0.4766,25,,,,,
crop_121,0.4034,25,,,,,
crop_122,0.3370,25,,,,,
crop_123,0.3268,25,,,,,
crop_124,0.3185,25,,,,,
crop_125,0.3152,25,,,,,
crop_126,0.3148,25,,,,,
crop_127,0.2993,25,,,,,
crop_128,0.2808,25,,,,,
crop_129,0.2560,25,,,,,
crop_130,0.7373,26,,,,,
crop_131,0.6830,26,,,,,
crop_132,0.4606,26,,,,,
crop_133,0.4453,26,,,,,
crop_134,0.3918,26,,,,,
crop_135,0.3858,26,,,,,
crop_136,0.3728,26,,,,,
crop_137,0.3723,26,,,,,
crop_138,0.3104,26,,,,,
crop_139,0.2962,26,,,,,
crop_140,0.2732,26,,,,,
