frame,detection_id,confidence,x1,y1,x2,y2,human_label
17,1,0.6398,,,,,
17,2,0.6389,,,,,
17,3,0.5985,,,,,
17,4,0.5788,,,,,
17,5,0.5715,,,,,
17,6,0.5565,,,,,
17,7,0.5181,,,,,
17,8,0.4097,,,,,
17,9,0.3926,,,,,
17,10,0.3338,,,,,
17,11,0.3122,,,,,
17,12,0.2826,,,,,
17,13,0.2693,,,,,
18,14,0.7823,,,,,
18,15,0.6854,,,,,
18,16,0.6193,,,,,
18,17,0.5910,,,,,
18,18,0.5900,,,,,
18,19,0.4978,,,,,
18,20,0.4912,,,,,
18,21,0.4587,,,,,
18,22,0.4509,,,,,
18,23,0.4464,,,,,
18,24,0.4072,,,,,
18,25,0.2986,,,,,
18,26,0.2546,,,,,
18,27,0.2533,,,,,
19,28,0.8038,,,,,
19,29,0.7416,,,,,
19,30,0.7160,,,,,
19,31,0.5327,,,,,
19,32,0.5183,,,,,
19,33,0.5083,,,,,
19,34,0.3723,,,,,
19,35,0.3689,,,,,
19,36,0.3582,,,,,
19,37,0.3139,,,,,
19,38,0.2644,,,,,
20,39,0.7892,,,,,
20,40,0.6804,,,,,
20,41,0.5723,,,,,
20,42,0.4813,,,,,
20,43,0.4057,,,,,
20,44,0.3660,,,,,
20,45,0.3658,,,,,
20,46,0.3582,,,,,
20,47,0.3383,,,,,
20,48,0.3340,,,,,
20,49,0.3273,,,,,
20,50,0.2998,,,,,
20,51,0.2916,,,,,
20,52,0.2871,,,,,
20,53,0.2741,,,,,
20,54,0.2633,,,,,
20,55,0.2587,,,,,
21,56,0.7413,,,,,
21,57,0.7294,,,,,
21,58,0.6387,,,,,
21,59,0.5619,,,,,
21,60,0.5553,,,,,
21,61,0.5480,,,,,
21,62,0.5350,,,,,
21,63,0.5028,,,,,
21,64,0.4904,,,,,
21,65,0.4158,,,,,
21,66,0.3821,,,,,
21,67,0.3646,,,,,
21,68,0.3598,,,,,
21,69,0.2698,,,,,
21,70,0.2639,,,,,
21,71,0.2623,,,,,
21,72,0.2586,,,,,
21,73,0.2567,,,,,
22,74,0.7892,,,,,
22,75,0.7422,,,,,
22,76,0.5733,,,,,
22,77,0.4868,,,,,
22,78,0.4423,,,,,
22,79,0.4407,,,,,
22,80,0.3875,,,,,
22,81,0.3562,,,,,
22,82,0.3203,,,,,
22,83,0.2779,,,,,
23,84,0.7689,,,,,
23,85,0.7380,,,,,
23,86,0.6832,,,,,
23,87,0.6782,,,,,
23,88,0.5745,,,,,
23,89,0.5486,,,,,
23,90,0.5483,,,,,
23,91,0.5306,,,,,
23,92,0.4728,,,,,
23,93,0.4523,,,,,
23,94,0.4468,,,,,
23,95,0.4108,,,,,
23,96,0.3847,,,,,
23,97,0.3651,,,,,
23,98,0.3398,,,,,
23,99,0.2780,,,,,
24,100,0.6877,,,,,
24,101,0.6832,,,,,
24,102,0.6685,,,,,
24,103,0.6666,,,,,
24,104,0.5830,,,,,
24,105,0.4193,,,,,
24,106,0.3953,,,,,
24,107,0.3414,,,,,
24,108,0.3132,,,,,
24,109,0.3061,,,,,
24,110,0.2592,,,,,
24,111,0.2576,,,,,
25,112,0.7427,,,,,
25,113,0.6353,,,,,
25,114,0.6234,,,,,
25,115,0.6066,,,,,
25,116,0.5757,,,,,
25,117,0.5606,,,,,
25,118,0.5575,,,,,
25,119,0.5128,,,,,
25,120,0.4824,,,,,
25,121,0.4766,,,,,
25,122,0.4034,,,,,
25,123,0.3370,,,,,
25,124,0.3268,,,,,
25,125,0.3185,,,,,
25,126,0.3152,,,,,
25,127,0.3148,,,,,
25,128,0.2993,,,,,
25,129,0.2808,,,,,
25,130,0.2560,,,,,
26,131,0.7373,,,,,
26,132,0.6830,,,,,
26,133,0.4606,,,,,
26,134,0.4453,,,,,
26,135,0.3918,,,,,
26,136,0.3858,,,,,
26,137,0.3728,,,,,
26,138,0.3723,,,,,
26,139,0.3104,,,,,
26,140,0.2962,,,,,
26,141,0.2732,,,,,
